 Masse A  
t x y 
0.000 178.9 95.27
1.000 178.8 95.39
2.000 178.8 95.25
3.000 178.6 95.31
4.000 178.6 95.31
5.000 178.4 95.21
6.000 178.1 95.37
7.000 177.8 95.26
8.000 177.3 95.31
9.000 177.1 95.34
10.000 177.0 95.22
11.000 176.9 95.29
12.000 176.8 95.34
13.000 176.7 95.23
14.000 176.7 95.22
15.000 176.6 95.13
16.000 176.6 95.22
17.000 176.6 95.16
18.000 176.4 95.15
19.000 176.0 95.25
20.000 175.8 95.06
21.000 175.9 95.20
22.000 175.8 95.11
23.000 175.7 95.09
24.000 175.7 95.20
25.000 175.6 95.13
26.000 175.6 95.14
27.000 175.6 95.18
28.000 175.5 94.96
29.000 175.4 95.29
30.000 175.1 95.08
31.000 175.2 95.22
32.000 175.1 95.16
33.000 175.1 95.15
34.000 175.1 95.20
35.000 175.1 95.15
36.000 175.1 95.15
37.000 175.1 95.21
38.000 175.2 95.11
39.000 175.2 95.30
40.000 175.2 95.11
41.000 175.2 95.18
42.000 175.3 95.25
43.000 175.2 95.09
44.000 175.4 95.27
45.000 175.4 95.27
46.000 175.5 95.14
47.000 175.9 95.17
48.000 176.0 95.08
49.000 176.2 95.28
50.000 176.3 95.21
51.000 176.3 95.23
52.000 176.5 95.38
53.000 176.8 95.10
54.000 176.8 95.34
55.000 176.9 95.23
56.000 176.9 95.25
57.000 177.0 95.31
58.000 177.1 95.16
59.000 177.2 95.29
60.000 177.2 95.32
61.000 177.2 95.23
62.000 177.5 95.34
63.000 177.9 95.21
64.000 178.1 95.33
65.000 178.2 95.28
66.000 178.3 95.24
67.000 178.5 95.28
68.000 178.8 95.22
69.000 178.9 95.34
70.000 178.9 95.31
71.000 179.1 95.35
72.000 179.3 95.41
73.000 179.3 95.35
74.000 179.6 95.30
75.000 180.0 95.31
76.000 180.3 95.31
77.000 180.5 95.34
78.000 180.9 95.24
79.000 181.0 95.34
80.000 181.2 95.39
81.000 181.2 95.32
82.000 181.3 95.40
83.000 181.6 95.27
84.000 182.1 95.24
85.000 182.5 95.40
86.000 182.9 95.18
87.000 183.0 95.50
88.000 183.1 95.40
89.000 183.4 95.41
90.000 183.4 95.38
91.000 183.7 95.35
92.000 184.2 95.47
93.000 184.3 95.37
94.000 184.7 95.37
95.000 184.9 95.40
96.000 185.1 95.33
97.000 185.3 95.54
98.000 185.7 95.42
99.000 186.1 95.39
100.000 186.3 95.49
101.000 186.5 95.18
102.000 186.9 95.48
103.000 187.1 95.45
104.000 187.3 95.48
105.000 187.5 95.49
106.000 188.0 95.44
107.000 188.3 95.51
108.000 188.4 95.58
109.000 188.7 95.33
110.000 189.0 95.51
111.000 189.2 95.37
112.000 189.3 95.54
113.000 189.5 95.53
114.000 190.0 95.42
115.000 190.3 95.62
116.000 190.6 95.40
117.000 190.8 95.53
118.000 191.1 95.57
119.000 191.2 95.46
120.000 191.4 95.75
121.000 191.6 95.45
122.000 192.4 95.62
123.000 192.4 95.60
124.000 192.6 95.36
125.000 192.9 95.67
126.000 193.1 95.43
127.000 193.4 95.59
128.000 193.5 95.57
129.000 194.0 95.48
130.000 194.3 95.77
131.000 194.4 95.58
132.000 195.0 95.60
133.000 194.9 95.84
134.000 195.2 95.64
135.000 195.3 95.89
136.000 195.7 95.75
137.000 196.2 95.62
138.000 196.4 95.67
139.000 196.6 95.59
140.000 196.8 95.63
141.000 197.1 95.56
142.000 197.3 95.64
143.000 197.3 95.68
144.000 197.4 95.65
145.000 197.6 95.65
146.000 198.2 95.70
147.000 198.2 95.63
148.000 198.3 95.73
149.000 198.5 95.48
150.000 199.1 95.68
151.000 199.1 95.65
152.000 199.2 95.70
153.000 199.5 95.67
154.000 199.8 95.62
155.000 200.2 95.70
156.000 200.0 95.77
157.000 200.1 95.91
158.000 200.3 96.32
159.000 200.4 96.00
160.000 200.5 96.03
161.000 200.9 96.09
162.000 201.1 96.02
163.000 201.1 96.19
164.000 201.2 96.08
165.000 201.3 96.23
166.000 201.5 96.10
167.000 201.8 96.03
168.000 202.0 96.18
169.000 202.1 96.15
170.000 202.1 96.10
171.000 202.3 96.24
172.000 202.4 95.95
173.000 202.6 96.38
174.000 202.7 96.05
175.000 202.9 96.15
176.000 203.0 96.24
177.000 203.0 96.15
178.000 203.0 96.31
179.000 203.1 96.15
180.000 203.2 96.15
181.000 203.2 96.29
182.000 203.2 96.18
183.000 203.3 96.29
184.000 203.3 96.29
185.000 203.3 96.21
186.000 203.5 96.14
187.000 203.7 96.12
188.000 203.8 96.20
189.000 203.8 96.16
190.000 203.9 96.15
191.000 203.9 96.19
192.000 204.0 96.08
193.000 204.0 96.13
194.000 204.0 96.16
195.000 204.1 96.11
196.000 204.1 96.25
197.000 204.0 96.06
198.000 204.0 96.19
199.000 204.0 96.16
200.000 204.0 96.14
201.000 204.0 96.21
202.000 203.9 96.12
203.000 203.9 96.14
204.000 203.8 96.21
205.000 203.8 96.04
206.000 203.8 96.18
207.000 203.7 96.14
208.000 203.7 96.14
209.000 203.7 96.15
210.000 203.6 96.03
211.000 203.6 96.29
212.000 203.6 96.08
213.000 203.6 96.17
214.000 203.5 96.14
215.000 203.3 96.19
216.000 203.0 96.30
217.000 202.8 96.20
218.000 202.9 96.08
219.000 202.8 96.21
220.000 202.7 95.96
221.000 202.6 96.25
222.000 202.5 96.02
223.000 202.5 96.09
224.000 202.5 96.10
225.000 202.3 96.02
226.000 201.9 96.14
227.000 201.8 96.06
228.000 201.6 96.02
229.000 201.5 96.15
230.000 201.4 96.16
231.000 201.0 96.17
232.000 201.0 96.10
233.000 200.7 96.02
234.000 200.7 96.09
235.000 200.4 96.08
236.000 200.1 96.14
237.000 199.8 96.03
238.000 199.6 96.00
239.000 199.6 96.05
240.000 199.4 96.06
241.000 199.0 96.04
242.000 198.8 96.03
243.000 198.8 95.92
244.000 198.7 96.05
245.000 198.4 95.96
246.000 198.1 96.04
247.000 197.9 96.04
248.000 197.6 95.95
249.000 197.3 96.15
250.000 197.0 95.95
251.000 196.8 95.96
252.000 196.7 96.03
253.000 196.6 95.85
254.000 196.4 96.07
255.000 195.7 95.92
256.000 195.5 95.95
257.000 195.3 96.10
258.000 194.9 95.87
259.000 194.8 96.10
260.000 194.6 95.93
261.000 194.3 95.98
262.000 193.9 95.95
263.000 193.5 95.83
264.000 193.2 95.94
265.000 192.8 95.77
266.000 192.8 95.52
267.000 192.5 95.65
268.000 192.3 95.48
269.000 191.6 95.61
270.000 191.5 95.39
271.000 191.3 95.40
272.000 190.9 95.53
273.000 190.7 95.39
274.000 190.5 95.47
275.000 190.0 95.49
276.000 189.7 95.39
277.000 189.3 95.54
278.000 189.0 95.43
279.000 188.7 95.39
280.000 188.6 95.44
281.000 188.2 95.38
282.000 187.5 95.45
283.000 187.3 95.37
284.000 187.0 95.41
285.000 186.7 95.36
286.000 186.5 95.31
287.000 186.5 95.39
288.000 185.9 95.34
289.000 185.3 95.54
290.000 184.9 95.52
291.000 184.6 95.35
292.000 184.4 95.36
293.000 183.9 95.32
294.000 183.5 95.42
295.000 183.3 95.45
296.000 182.9 95.32
297.000 182.6 95.39
298.000 182.5 95.17
299.000 182.2 95.30
300.000 181.5 95.32
301.000 181.3 95.27
302.000 180.8 95.33
303.000 180.6 95.32
304.000 180.4 95.32
305.000 179.6 95.25
306.000 179.4 95.31
307.000 178.9 95.32
308.000 178.7 95.28
309.000 178.7 95.27
310.000 178.5 95.34
311.000 178.1 95.17
312.000 177.4 95.22
313.000 177.2 95.20
314.000 176.8 95.13
315.000 176.6 95.30
316.000 176.3 95.13
317.000 175.7 95.19
318.000 175.2 95.14
319.000 174.9 95.00
320.000 174.8 95.15
321.000 174.4 95.11
322.000 173.9 95.20
323.000 173.4 95.23
324.000 173.0 95.08
325.000 172.8 95.18
326.000 172.7 95.12
327.000 172.4 95.10
328.000 172.2 95.16
329.000 171.7 95.03
330.000 171.3 95.15
331.000 170.9 95.02
332.000 170.6 95.04
333.000 170.5 95.00
334.000 170.4 94.99
335.000 170.0 95.13
336.000 169.5 95.00
337.000 169.1 95.07
338.000 168.8 95.10
339.000 168.7 94.95
340.000 168.5 95.06
341.000 168.3 95.09
342.000 167.9 95.09
343.000 167.6 94.99
344.000 167.3 95.07
345.000 167.0 95.10
346.000 166.7 94.92
347.000 166.5 94.93
348.000 166.5 94.90
349.000 166.3 94.94
350.000 166.0 94.96
351.000 165.5 94.93
352.000 165.5 94.91
353.000 165.2 95.14
354.000 164.8 95.01
355.000 164.8 95.05
356.000 164.5 95.00
357.000 164.5 94.92
358.000 164.3 95.14
359.000 163.9 95.02
360.000 163.7 95.09
361.000 163.5 95.11
362.000 163.4 95.14
363.000 163.1 95.20
364.000 162.9 95.03
365.000 162.8 95.08
366.000 162.8 95.10
367.000 162.6 94.98
368.000 162.6 95.10
369.000 162.4 94.97
370.000 162.3 95.14
371.000 162.0 95.06
372.000 161.8 94.97
373.000 161.8 94.99
374.000 161.7 94.95
375.000 161.5 94.98
376.000 161.4 95.04
377.000 161.3 94.96
378.000 161.1 95.06
379.000 161.0 94.95
380.000 161.0 94.98
381.000 160.9 94.90
382.000 160.8 94.89
383.000 160.8 94.90
384.000 160.6 94.84
385.000 160.6 94.81
386.000 160.6 94.86
387.000 160.7 94.66
388.000 160.8 94.54
389.000 160.7 94.41
390.000 160.7 94.39
391.000 160.7 94.46
392.000 160.7 94.37
393.000 160.6 94.49
394.000 160.7 94.45
395.000 160.6 94.40
396.000 160.6 94.53
397.000 160.6 94.44
398.000 160.6 94.45
399.000 160.6 94.47
400.000 160.6 94.41
401.000 160.7 94.50
402.000 160.7 94.42
403.000 160.6 94.51
404.000 160.7 94.42
405.000 160.7 94.47
406.000 160.8 94.49
407.000 160.7 94.43
408.000 160.8 94.49
409.000 160.8 94.48
410.000 160.8 94.50
411.000 160.9 94.59
412.000 160.9 94.54
413.000 160.9 94.58
414.000 161.0 94.56
415.000 161.1 94.57
416.000 161.1 94.68
417.000 161.2 94.63
418.000 161.2 94.73
419.000 161.3 94.70
420.000 161.4 94.67
421.000 161.6 94.60
422.000 161.8 94.59
423.000 161.9 94.71
424.000 162.1 94.75
425.000 162.2 94.68
426.000 162.2 94.82
427.000 162.3 95.01
428.000 162.4 95.07
429.000 162.5 95.04
430.000 162.8 95.05
431.000 163.0 95.09
432.000 163.2 95.14
433.000 163.2 95.12
434.000 163.3 95.19
435.000 163.6 95.02
436.000 163.9 95.09
437.000 164.1 95.07
438.000 164.3 95.08
439.000 164.4 95.13
440.000 164.5 94.94
441.000 164.8 95.06
442.000 165.2 95.08
443.000 165.3 95.07
444.000 165.5 94.97
445.000 165.8 94.81
446.000 166.1 94.96
447.000 166.2 94.98
448.000 166.4 95.02
449.000 166.7 94.99
450.000 167.0 94.96
451.000 167.3 95.13
452.000 167.5 94.98
453.000 167.9 95.03
454.000 168.1 95.21
455.000 168.3 95.10
456.000 168.5 95.07
457.000 168.9 95.07
458.000 169.2 95.03
459.000 169.3 95.08
460.000 169.4 94.94
461.000 170.0 95.06
462.000 170.2 95.08
463.000 170.4 94.96
464.000 170.8 95.09
465.000 171.1 95.08
466.000 171.3 95.07
467.000 171.5 95.10
