 Masse A  
t x y 
0.000 -18.26 58.76
1.000 -18.29 58.76
2.000 -18.32 58.75
3.000 -18.33 58.74
4.000 -18.30 58.74
5.000 -18.35 58.78
6.000 -18.37 58.75
7.000 -18.42 58.78
8.000 -18.42 58.76
9.000 -18.40 58.75
10.000 -18.45 58.71
11.000 -18.42 58.72
12.000 -18.43 58.75
13.000 -18.49 58.72
14.000 -18.45 58.70
15.000 -18.47 58.71
16.000 -18.50 58.72
17.000 -18.50 58.69
18.000 -18.54 58.69
19.000 -18.57 58.62
20.000 -18.54 58.69
21.000 -18.62 58.58
22.000 -18.62 58.60
23.000 -18.60 58.57
24.000 -18.86 58.63
25.000 -19.14 58.63
26.000 -19.22 58.64
27.000 -19.19 58.62
28.000 -19.23 58.61
29.000 -19.35 58.62
30.000 -19.30 58.63
31.000 -19.29 58.67
32.000 -19.29 58.63
33.000 -19.36 58.62
34.000 -19.43 58.63
35.000 -19.42 58.63
36.000 -19.54 58.64
37.000 -19.55 58.57
38.000 -19.53 58.60
39.000 -19.60 58.60
40.000 -19.64 58.57
41.000 -19.65 58.60
42.000 -19.73 58.62
43.000 -19.75 58.64
44.000 -19.78 58.77
45.000 -20.14 58.73
46.000 -20.19 58.71
47.000 -20.29 58.71
48.000 -20.41 58.63
49.000 -20.39 58.69
50.000 -20.40 58.67
51.000 -20.44 58.66
52.000 -20.40 58.68
53.000 -20.48 58.68
54.000 -20.51 58.61
55.000 -20.50 58.61
56.000 -20.54 58.60
57.000 -20.62 58.58
58.000 -20.64 58.61
59.000 -20.66 58.61
60.000 -20.78 58.78
61.000 -21.24 58.74
62.000 -21.36 58.70
63.000 -21.46 58.70
64.000 -21.49 58.72
65.000 -21.54 58.68
66.000 -21.60 58.71
67.000 -21.64 58.67
68.000 -21.67 58.70
69.000 -21.71 58.74
70.000 -21.74 58.71
71.000 -21.82 58.80
72.000 -22.33 58.67
73.000 -22.34 58.68
74.000 -22.43 58.69
75.000 -22.55 58.63
76.000 -22.60 58.67
77.000 -22.63 58.61
78.000 -22.66 58.59
79.000 -22.76 58.56
80.000 -22.82 58.74
81.000 -23.17 58.71
82.000 -23.30 58.70
83.000 -23.33 58.70
84.000 -23.53 58.77
85.000 -23.55 58.72
86.000 -23.56 58.73
87.000 -23.70 58.79
88.000 -23.82 58.83
89.000 -24.12 58.87
90.000 -24.25 58.83
91.000 -24.28 58.85
92.000 -24.33 58.81
93.000 -24.37 58.84
94.000 -24.42 58.83
95.000 -24.42 58.80
96.000 -24.56 58.77
97.000 -24.56 58.72
98.000 -24.58 58.72
99.000 -24.61 58.74
100.000 -24.66 58.66
101.000 -24.68 58.64
102.000 -24.74 58.60
103.000 -24.74 58.62
104.000 -24.82 58.83
105.000 -25.23 58.77
106.000 -25.39 58.76
107.000 -25.51 58.74
108.000 -25.73 58.79
109.000 -25.62 58.81
110.000 -25.73 58.79
111.000 -25.76 58.74
112.000 -26.09 58.79
113.000 -26.22 58.78
114.000 -26.28 58.76
115.000 -26.36 58.67
116.000 -26.46 58.78
117.000 -26.54 58.67
118.000 -26.75 58.68
119.000 -26.74 58.69
120.000 -27.01 58.65
121.000 -27.22 58.67
122.000 -27.27 58.68
123.000 -27.37 58.66
124.000 -27.42 58.70
125.000 -27.60 58.67
126.000 -27.55 58.67
127.000 -27.62 58.69
128.000 -27.60 58.69
129.000 -27.64 58.69
130.000 -27.63 58.63
131.000 -27.69 58.64
132.000 -27.90 58.67
133.000 -28.15 58.70
134.000 -28.21 58.72
135.000 -28.31 58.76
136.000 -28.29 58.75
137.000 -28.37 58.78
138.000 -28.45 58.78
139.000 -28.43 58.79
140.000 -28.46 58.76
141.000 -28.55 58.76
142.000 -28.58 58.78
143.000 -28.63 58.75
144.000 -28.75 58.79
145.000 -28.80 58.83
146.000 -29.12 58.78
147.000 -29.25 58.80
148.000 -29.22 58.77
149.000 -29.27 58.79
150.000 -29.29 58.80
151.000 -29.32 58.80
152.000 -29.34 58.82
153.000 -29.35 58.81
154.000 -29.33 58.83
155.000 -29.35 58.81
156.000 -29.41 58.80
157.000 -29.38 58.84
158.000 -29.41 58.81
159.000 -29.42 58.80
160.000 -29.43 58.80
161.000 -29.46 58.83
162.000 -29.50 58.83
163.000 -29.53 58.80
