 Masse A  
t x y 
0.000 -21.24 71.37
1.000 -21.34 71.41
2.000 -21.37 71.49
3.000 -21.39 71.37
4.000 -21.44 71.44
5.000 -21.51 71.42
6.000 -21.60 71.42
7.000 -21.67 71.46
8.000 -21.79 71.43
9.000 -22.19 71.48
10.000 -22.34 71.44
11.000 -22.46 71.46
12.000 -22.58 71.54
13.000 -22.68 71.39
14.000 -22.71 71.42
15.000 -22.72 71.41
16.000 -22.80 71.47
17.000 -23.08 71.55
18.000 -23.20 71.49
19.000 -23.31 71.50
20.000 -23.33 71.53
21.000 -23.43 71.51
22.000 -23.40 71.51
23.000 -23.56 71.41
24.000 -23.71 71.37
25.000 -23.70 71.50
26.000 -23.86 71.41
27.000 -24.21 71.55
28.000 -24.39 71.43
29.000 -24.39 71.47
30.000 -24.48 71.50
31.000 -24.53 71.44
32.000 -24.58 71.50
33.000 -24.59 71.42
34.000 -24.61 71.46
35.000 -24.73 71.38
36.000 -24.88 71.45
37.000 -25.15 71.40
38.000 -25.32 71.35
39.000 -25.35 71.31
40.000 -25.40 71.36
41.000 -25.49 71.26
42.000 -25.48 71.39
43.000 -25.53 71.38
44.000 -25.63 71.39
45.000 -25.66 71.40
46.000 -25.75 71.42
47.000 -26.10 71.49
48.000 -26.42 71.43
49.000 -26.49 71.38
50.000 -26.57 71.42
51.000 -26.60 71.32
52.000 -26.64 71.40
53.000 -26.68 71.38
54.000 -26.72 71.34
55.000 -26.78 71.48
56.000 -27.08 71.41
57.000 -27.18 71.45
58.000 -27.21 71.43
59.000 -27.25 71.42
60.000 -27.40 71.43
61.000 -27.50 71.41
62.000 -27.50 71.46
63.000 -27.55 71.49
64.000 -27.60 71.49
65.000 -27.68 71.55
66.000 -27.93 71.51
67.000 -28.12 71.51
68.000 -28.22 71.52
69.000 -28.22 71.40
70.000 -28.27 71.50
71.000 -28.31 71.44
72.000 -28.45 71.36
73.000 -28.43 71.52
74.000 -28.43 71.38
75.000 -28.48 71.50
76.000 -28.52 71.42
77.000 -28.56 71.43
78.000 -28.57 71.47
79.000 -28.61 71.41
80.000 -28.70 71.48
81.000 -28.73 71.46
82.000 -28.77 71.60
83.000 -29.09 71.58
84.000 -29.33 71.51
85.000 -29.31 71.57
86.000 -29.30 71.55
87.000 -29.33 71.54
88.000 -29.31 71.54
