 Masse A  
t x y 
265.000 201.7 94.70
266.000 201.1 94.68
267.000 201.1 94.67
268.000 200.8 94.71
269.000 200.8 94.61
270.000 200.6 94.72
271.000 200.3 94.67
272.000 200.2 94.61
273.000 199.9 94.61
274.000 200.0 94.61
275.000 199.9 94.64
276.000 199.9 94.41
277.000 199.9 94.25
278.000 199.7 94.24
279.000 199.3 94.23
280.000 198.9 94.15
281.000 198.7 94.18
282.000 198.7 94.33
283.000 198.2 94.29
284.000 198.1 94.27
285.000 198.1 94.24
286.000 197.8 94.25
287.000 197.9 94.20
288.000 197.8 94.15
289.000 197.8 94.17
290.000 197.7 94.23
291.000 197.3 94.19
292.000 197.0 94.21
293.000 196.9 94.21
294.000 196.9 94.20
295.000 196.8 94.22
296.000 196.6 94.25
297.000 196.3 94.23
298.000 196.1 94.17
299.000 196.1 94.22
300.000 196.0 94.22
301.000 196.0 94.15
302.000 196.0 94.19
303.000 195.9 94.16
304.000 195.8 94.17
305.000 195.8 94.18
306.000 195.7 94.17
307.000 195.4 94.22
308.000 195.2 94.23
309.000 195.2 94.16
310.000 195.0 94.16
311.000 195.0 94.14
312.000 195.1 94.24
313.000 195.1 94.16
314.000 195.0 94.18
315.000 195.0 94.24
316.000 195.0 94.16
317.000 194.7 94.25
318.000 194.5 94.21
319.000 194.4 94.26
320.000 194.4 94.21
321.000 194.3 94.14
322.000 194.3 94.19
323.000 194.3 94.15
324.000 194.3 94.15
325.000 194.3 94.17
326.000 194.3 94.16
327.000 194.3 94.17
328.000 194.2 94.16
329.000 194.2 94.21
330.000 194.3 94.16
331.000 194.3 94.17
332.000 194.2 94.18
333.000 194.2 94.18
334.000 194.3 94.17
335.000 194.3 94.21
336.000 194.4 94.19
337.000 194.4 94.20
338.000 194.4 94.22
339.000 194.3 94.22
340.000 194.4 94.28
341.000 194.4 94.21
342.000 194.5 94.27
343.000 194.5 94.20
344.000 194.5 94.23
345.000 194.5 94.24
346.000 194.5 94.26
347.000 194.6 94.31
348.000 194.8 94.13
349.000 195.2 94.16
350.000 195.3 94.18
351.000 195.3 94.19
352.000 195.3 94.16
353.000 195.3 94.23
354.000 195.4 94.15
355.000 195.6 94.22
356.000 195.6 94.20
357.000 195.7 94.26
358.000 195.7 94.20
359.000 196.1 94.19
360.000 196.2 94.27
361.000 196.3 94.23
362.000 196.3 94.23
