 Masse A  
t x y 
0.000 218.8 95.93
1.000 219.2 95.53
2.000 219.9 95.92
3.000 220.4 95.91
4.000 221.1 95.49
5.000 221.6 96.07
6.000 222.3 95.64
7.000 223.0 95.58
8.000 223.6 96.04
9.000 224.4 95.36
10.000 224.8 95.73
11.000 225.1 95.65
12.000 225.6 95.60
13.000 226.4 96.13
14.000 226.8 95.49
15.000 227.5 96.04
16.000 228.0 95.92
17.000 228.5 95.61
18.000 229.0 96.23
19.000 229.5 95.43
20.000 230.1 95.68
21.000 230.4 95.90
22.000 230.9 95.60
23.000 231.5 96.09
24.000 232.0 95.64
25.000 232.5 95.96
26.000 233.0 95.97
27.000 233.2 95.59
28.000 233.7 96.22
29.000 234.3 95.46
30.000 234.8 96.05
31.000 235.2 96.06
32.000 235.4 95.56
33.000 236.2 96.27
34.000 236.4 95.60
35.000 236.9 95.86
36.000 237.1 96.24
37.000 237.4 95.55
38.000 238.2 96.30
39.000 238.3 95.58
40.000 238.9 95.87
41.000 239.3 96.27
42.000 239.5 95.55
43.000 240.0 96.21
44.000 240.2 95.85
45.000 240.4 95.76
46.000 240.9 96.20
47.000 241.2 95.64
48.000 241.2 96.28
49.000 241.6 96.01
50.000 242.0 95.86
51.000 242.4 96.28
52.000 242.6 95.65
53.000 242.9 96.34
54.000 243.1 96.01
55.000 243.1 95.94
56.000 243.7 96.26
57.000 243.9 95.75
58.000 244.3 96.13
59.000 244.5 96.00
60.000 244.7 95.73
61.000 244.9 96.51
62.000 245.1 96.05
63.000 245.1 96.38
64.000 245.3 96.12
65.000 245.7 95.68
66.000 246.1 96.40
67.000 246.0 95.73
68.000 246.3 96.07
69.000 246.6 96.07
70.000 246.7 95.65
71.000 246.8 96.36
72.000 247.0 95.86
73.000 247.0 96.03
74.000 247.1 96.28
75.000 248.2 96.11
76.000 248.0 96.27
77.000 247.9 95.76
78.000 247.9 96.45
79.000 248.1 96.06
80.000 248.0 96.04
81.000 248.0 96.28
82.000 247.9 95.78
83.000 248.1 96.42
84.000 248.0 95.99
85.000 248.0 95.91
86.000 248.0 96.38
87.000 247.8 95.54
88.000 247.9 96.42
89.000 247.9 95.97
90.000 247.8 95.84
91.000 247.9 96.40
92.000 247.7 95.66
93.000 247.7 96.29
94.000 247.4 95.95
95.000 247.5 95.93
96.000 247.5 96.25
97.000 247.3 95.75
98.000 247.3 96.19
99.000 247.2 96.19
100.000 246.6 95.72
101.000 246.7 96.41
102.000 246.4 95.70
103.000 246.5 96.25
104.000 246.5 96.12
105.000 246.1 95.77
106.000 246.0 96.41
107.000 245.5 95.76
108.000 245.5 96.01
109.000 245.3 96.18
110.000 245.1 95.84
111.000 244.8 96.45
112.000 244.6 96.03
113.000 244.5 96.08
114.000 244.4 96.28
115.000 244.2 95.70
116.000 243.7 96.30
117.000 243.5 95.74
118.000 243.4 95.98
119.000 243.2 96.39
120.000 242.7 95.70
121.000 242.6 96.39
122.000 242.5 95.98
123.000 242.3 95.95
124.000 242.2 96.37
125.000 241.6 95.72
126.000 241.4 96.23
127.000 241.1 95.95
128.000 240.7 95.74
129.000 240.5 96.26
130.000 240.4 95.62
131.000 240.3 96.17
132.000 240.0 95.99
133.000 239.4 95.69
134.000 239.1 96.41
135.000 238.7 95.61
136.000 238.5 96.08
137.000 238.3 95.90
138.000 238.1 95.74
139.000 237.6 96.19
140.000 237.2 95.67
141.000 236.9 96.10
142.000 236.6 95.98
143.000 236.5 95.70
144.000 236.4 96.19
