 Masse A  
t x y 
0.000 151.0 60.08
1.000 151.6 60.09
2.000 152.3 60.10
3.000 152.7 60.01
4.000 153.2 60.10
5.000 153.7 60.01
6.000 154.4 60.17
7.000 154.8 60.09
8.000 155.5 60.24
9.000 155.9 60.23
10.000 156.7 60.14
11.000 157.1 60.07
12.000 157.6 60.21
13.000 158.4 60.20
14.000 158.9 60.15
15.000 159.4 60.24
16.000 159.9 60.24
17.000 160.6 60.09
18.000 161.3 60.23
19.000 161.7 60.10
20.000 162.6 60.20
21.000 163.1 60.29
22.000 163.4 60.34
23.000 163.9 60.17
24.000 164.7 60.14
25.000 165.4 60.37
26.000 166.0 60.17
27.000 166.6 60.22
28.000 167.2 60.29
29.000 167.7 60.22
30.000 168.6 60.22
31.000 169.3 60.24
32.000 169.8 60.24
33.000 170.6 60.20
34.000 171.2 60.45
35.000 171.8 60.35
36.000 172.4 60.33
37.000 173.1 60.38
38.000 173.7 60.26
39.000 174.5 60.41
40.000 174.7 60.35
41.000 175.3 60.25
42.000 175.8 60.24
43.000 176.6 60.19
44.000 177.3 60.41
45.000 177.6 60.33
46.000 178.4 60.29
47.000 178.8 60.44
48.000 179.4 60.40
49.000 180.2 60.37
50.000 180.7 60.18
51.000 181.4 60.31
52.000 181.9 60.48
53.000 182.7 60.34
54.000 183.2 60.34
55.000 183.8 60.46
56.000 184.5 60.32
57.000 184.9 60.33
58.000 185.4 60.37
59.000 186.0 60.24
60.000 186.8 60.28
61.000 187.4 60.23
62.000 187.9 60.43
63.000 188.6 60.31
64.000 189.0 60.44
65.000 189.4 60.46
66.000 189.9 60.26
67.000 190.6 60.41
68.000 191.3 60.48
69.000 191.8 60.25
70.000 192.3 60.68
71.000 192.7 60.66
72.000 193.4 60.83
73.000 194.1 60.93
74.000 194.7 60.79
75.000 195.0 61.23
76.000 195.4 61.23
77.000 196.0 61.21
78.000 196.6 61.11
79.000 197.2 61.20
80.000 197.5 61.17
81.000 198.3 61.15
82.000 198.7 61.31
83.000 199.2 61.31
84.000 199.4 61.14
85.000 199.8 61.20
86.000 200.1 61.25
87.000 200.5 61.17
88.000 200.7 61.11
89.000 201.0 61.04
90.000 201.5 61.07
91.000 201.8 60.92
92.000 202.4 60.86
93.000 202.6 61.01
94.000 203.1 61.01
