 Masse A  
t x y 
0.000 136.4 59.42
1.000 136.9 59.97
2.000 137.3 59.44
3.000 138.0 59.79
4.000 138.8 59.84
5.000 139.4 59.66
6.000 140.3 59.28
7.000 140.9 59.80
8.000 141.7 60.17
9.000 142.3 59.62
10.000 143.2 59.57
11.000 144.1 60.10
12.000 145.0 59.92
13.000 146.1 59.38
14.000 146.6 59.87
15.000 147.4 60.20
16.000 148.2 59.65
17.000 148.9 59.40
18.000 149.7 60.14
19.000 150.4 60.22
20.000 151.6 59.64
21.000 152.5 59.97
22.000 153.2 60.38
23.000 154.2 59.78
24.000 155.2 59.58
25.000 156.2 60.08
26.000 157.0 60.14
27.000 157.9 59.65
28.000 158.6 59.94
29.000 159.5 60.49
30.000 160.4 59.78
31.000 161.2 59.65
32.000 162.2 60.34
33.000 163.2 59.87
34.000 164.0 59.61
35.000 165.0 60.07
36.000 166.1 60.08
37.000 167.0 59.64
38.000 168.0 59.93
39.000 168.8 60.48
40.000 169.8 59.98
41.000 170.6 60.13
42.000 171.5 60.76
43.000 172.5 59.97
44.000 173.5 59.96
45.000 174.3 60.88
46.000 175.0 59.86
47.000 176.2 59.86
48.000 176.8 60.30
49.000 177.7 59.76
50.000 178.3 60.56
51.000 179.1 59.91
52.000 180.2 60.20
53.000 180.8 60.55
54.000 181.8 60.02
55.000 182.3 60.79
56.000 183.4 60.12
57.000 184.2 60.17
58.000 185.0 60.64
59.000 186.1 60.01
60.000 187.1 60.68
61.000 188.1 60.38
62.000 188.7 60.33
63.000 189.4 60.66
64.000 190.3 59.98
65.000 191.1 60.74
66.000 192.1 60.33
67.000 193.0 60.24
68.000 193.9 61.03
69.000 194.6 60.35
70.000 195.5 60.94
71.000 196.2 60.99
72.000 197.4 60.84
73.000 198.2 61.37
74.000 198.9 60.55
75.000 199.6 61.26
76.000 200.1 61.03
77.000 200.7 60.93
78.000 201.6 61.23
79.000 202.3 60.63
80.000 203.2 61.03
81.000 204.0 61.08
82.000 204.7 60.55
83.000 205.3 61.21
84.000 206.2 60.51
85.000 207.0 60.78
86.000 207.8 60.70
87.000 208.3 60.39
88.000 208.8 61.17
89.000 209.6 60.58
90.000 210.2 60.87
91.000 210.8 60.92
92.000 211.3 60.42
93.000 212.0 61.09
94.000 212.7 60.72
95.000 213.2 60.88
96.000 214.0 61.04
97.000 214.6 60.82
98.000 215.0 61.30
99.000 215.8 60.91
100.000 216.1 60.75
101.000 216.6 61.19
102.000 217.1 60.78
103.000 217.8 61.30
104.000 218.2 61.06
105.000 218.8 61.10
106.000 219.2 61.48
107.000 219.9 60.97
108.000 220.2 61.50
109.000 220.8 61.12
110.000 221.2 61.07
111.000 221.9 61.42
112.000 222.2 60.74
113.000 222.7 61.43
114.000 222.9 61.19
115.000 223.7 61.27
116.000 224.0 61.60
117.000 224.4 60.89
118.000 224.6 61.25
119.000 224.9 61.22
120.000 225.5 60.95
121.000 225.9 61.59
122.000 226.1 60.99
123.000 226.4 61.45
124.000 226.7 61.24
125.000 226.8 61.09
126.000 227.2 61.58
127.000 227.6 60.96
128.000 228.0 61.46
129.000 228.3 61.41
130.000 228.5 61.15
131.000 228.5 61.56
132.000 228.6 60.80
133.000 228.8 61.18
134.000 228.9 61.40
135.000 229.2 60.91
136.000 229.4 61.50
137.000 229.7 60.91
138.000 229.7 61.26
139.000 229.7 61.37
140.000 230.1 60.99
141.000 230.2 61.62
142.000 230.3 61.02
143.000 230.4 61.38
144.000 230.5 61.42
145.000 230.6 60.91
146.000 230.5 61.46
147.000 230.6 60.87
148.000 230.6 60.86
149.000 230.5 61.25
150.000 230.6 60.99
151.000 230.6 61.59
152.000 230.6 61.01
153.000 230.6 61.19
154.000 230.6 61.56
155.000 230.5 60.95
156.000 230.5 61.46
157.000 230.5 61.25
158.000 230.5 61.25
159.000 230.4 61.63
160.000 230.4 60.93
161.000 230.4 61.57
162.000 230.3 61.17
163.000 230.2 61.20
164.000 230.0 61.70
165.000 230.0 61.01
166.000 230.0 61.56
167.000 229.9 61.34
168.000 229.3 60.88
169.000 229.2 61.38
170.000 229.1 60.86
171.000 228.8 61.22
172.000 228.5 61.31
173.000 228.4 61.13
174.000 228.2 61.67
175.000 228.1 60.98
176.000 228.0 61.46
177.000 227.5 61.31
178.000 227.2 61.04
179.000 226.8 61.58
180.000 226.4 60.96
181.000 226.1 61.31
182.000 225.9 61.43
183.000 225.4 60.86
184.000 225.0 61.42
185.000 224.7 60.99
186.000 224.3 61.20
187.000 224.1 61.38
188.000 223.8 60.99
189.000 223.1 61.55
190.000 222.9 61.13
191.000 222.2 61.13
192.000 222.1 61.43
193.000 222.0 60.75
194.000 221.4 61.28
195.000 220.8 61.16
196.000 220.2 61.21
197.000 219.9 61.50
198.000 219.2 60.85
199.000 218.8 61.19
200.000 218.2 61.16
201.000 217.8 61.11
202.000 217.2 61.59
203.000 216.8 60.89
204.000 216.2 61.02
205.000 215.8 61.16
206.000 215.1 61.07
207.000 214.7 61.68
208.000 214.2 60.79
209.000 213.7 61.12
210.000 213.0 61.28
211.000 212.5 60.85
212.000 212.0 61.15
213.000 211.6 60.63
214.000 210.9 61.12
215.000 210.3 60.90
216.000 209.8 60.46
217.000 209.0 61.17
218.000 208.4 60.45
219.000 207.9 60.82
220.000 207.1 60.67
221.000 206.6 60.46
222.000 205.9 61.05
223.000 205.2 60.60
224.000 204.8 60.75
225.000 204.0 60.72
226.000 203.4 60.18
