 Masse A  
t x y 
0.000 210.1 60.08
1.000 209.6 60.78
2.000 208.8 59.96
3.000 208.2 60.53
4.000 207.4 59.85
5.000 206.5 60.04
6.000 205.8 60.40
7.000 205.1 59.62
8.000 204.3 60.61
9.000 203.7 60.21
10.000 202.9 59.75
11.000 202.0 60.71
12.000 201.2 59.86
13.000 200.2 60.66
14.000 199.2 60.87
15.000 198.6 60.39
16.000 197.9 61.20
17.000 197.2 60.03
18.000 196.3 60.63
19.000 195.3 60.51
20.000 194.2 59.87
21.000 193.3 60.53
22.000 192.4 59.53
23.000 191.4 59.99
24.000 190.3 60.25
25.000 189.5 59.68
26.000 188.5 60.69
27.000 187.6 59.88
28.000 186.9 60.23
29.000 186.0 60.17
30.000 184.9 59.64
31.000 184.0 60.73
32.000 183.2 59.85
33.000 182.1 60.19
34.000 181.5 60.33
35.000 180.1 59.72
36.000 179.3 60.46
37.000 178.2 59.79
38.000 177.4 59.99
39.000 176.4 60.37
40.000 175.5 59.72
41.000 174.4 60.50
42.000 173.7 59.78
43.000 173.1 59.92
44.000 172.1 60.37
45.000 171.4 59.67
46.000 170.4 60.41
47.000 169.4 59.70
48.000 168.4 59.41
49.000 167.4 59.96
50.000 166.5 59.22
51.000 165.6 59.91
52.000 164.5 59.81
53.000 163.7 59.48
54.000 162.9 59.92
55.000 162.1 59.43
56.000 161.2 59.77
57.000 160.3 59.66
58.000 159.5 59.64
59.000 158.5 60.30
60.000 157.4 59.62
61.000 156.6 59.99
62.000 156.0 60.07
63.000 155.2 59.24
64.000 154.3 60.01
65.000 153.3 59.53
66.000 152.4 59.66
67.000 151.5 60.02
68.000 150.7 59.34
69.000 150.0 60.06
70.000 149.3 59.45
71.000 148.3 59.42
72.000 147.4 59.75
73.000 146.6 59.08
74.000 145.8 59.98
75.000 145.1 59.34
76.000 144.2 59.66
77.000 143.5 59.91
78.000 142.6 59.14
79.000 141.9 60.06
80.000 141.4 59.42
81.000 140.5 59.13
82.000 139.6 59.92
83.000 138.8 58.93
84.000 138.3 59.90
85.000 137.6 59.49
86.000 136.8 59.24
87.000 136.3 59.81
88.000 135.6 59.02
89.000 134.7 59.83
90.000 134.1 59.48
91.000 133.3 59.04
