 Masse A  
t x y 
0.000 99.25 59.42
1.000 99.19 59.53
2.000 99.20 59.31
3.000 99.19 59.71
4.000 99.24 59.24
5.000 99.26 59.46
6.000 99.30 59.47
7.000 99.35 59.32
8.000 99.33 59.49
9.000 99.33 59.08
10.000 99.48 59.35
11.000 99.54 59.43
12.000 99.81 59.13
13.000 100.1 59.55
14.000 100.3 59.34
15.000 100.6 59.41
16.000 100.6 59.54
17.000 100.7 59.35
18.000 100.9 59.47
19.000 101.1 59.34
20.000 101.6 59.44
21.000 101.7 59.52
22.000 101.9 59.38
23.000 102.3 59.57
24.000 102.8 59.41
25.000 103.0 59.36
26.000 103.4 59.53
27.000 103.7 59.15
28.000 104.1 59.39
29.000 104.5 59.36
30.000 104.7 59.42
31.000 105.1 59.72
32.000 105.7 59.24
33.000 106.0 59.59
34.000 106.5 59.25
35.000 106.9 59.26
36.000 107.5 59.67
37.000 107.7 59.21
38.000 108.2 59.44
39.000 108.8 59.31
40.000 109.3 59.35
41.000 109.7 59.54
42.000 110.1 59.18
43.000 110.8 59.40
44.000 111.4 59.53
45.000 112.0 59.24
46.000 112.8 59.37
47.000 113.4 59.73
48.000 113.7 59.56
49.000 114.2 59.62
50.000 115.0 59.46
51.000 115.5 59.82
52.000 116.1 59.48
53.000 116.8 59.52
54.000 117.4 59.58
55.000 118.1 59.37
56.000 118.7 59.86
57.000 119.3 59.30
58.000 119.9 59.47
59.000 120.7 59.48
60.000 121.3 59.50
61.000 121.9 59.78
62.000 123.0 59.32
63.000 123.6 59.68
64.000 124.2 59.67
65.000 125.0 59.55
66.000 125.8 59.79
67.000 126.8 59.25
68.000 127.3 59.40
69.000 128.2 59.78
70.000 128.9 59.51
71.000 129.5 59.56
72.000 130.2 59.66
73.000 131.0 59.47
74.000 131.9 59.63
75.000 132.7 59.59
76.000 133.3 59.75
77.000 134.2 59.68
78.000 135.0 59.64
79.000 136.0 59.67
80.000 136.8 59.30
81.000 137.5 59.98
82.000 138.3 59.86
83.000 139.1 59.79
84.000 140.0 59.83
85.000 140.8 59.69
86.000 141.5 59.87
87.000 142.3 59.78
88.000 143.1 59.68
89.000 144.1 59.82
90.000 144.9 59.50
91.000 145.5 59.56
92.000 146.3 59.90
93.000 147.1 59.80
94.000 147.9 59.85
95.000 148.9 59.55
96.000 149.9 59.76
97.000 150.8 59.79
98.000 151.6 59.80
99.000 152.2 59.85
100.000 153.1 59.70
101.000 153.8 59.84
102.000 154.8 59.82
103.000 155.8 59.63
104.000 156.5 60.10
105.000 157.0 59.95
106.000 158.0 60.21
107.000 158.9 60.14
108.000 159.5 59.96
109.000 160.1 60.36
110.000 161.1 60.03
111.000 161.9 60.10
112.000 162.9 60.07
113.000 163.4 60.10
114.000 164.1 60.12
115.000 165.0 60.18
116.000 165.8 60.26
117.000 166.5 60.31
118.000 167.2 60.14
119.000 168.1 60.31
120.000 168.8 60.17
121.000 169.6 60.17
122.000 170.4 60.30
123.000 171.1 60.14
124.000 171.9 60.63
125.000 172.8 60.42
126.000 173.4 60.27
127.000 174.0 60.41
128.000 174.9 60.23
129.000 175.5 60.57
130.000 176.0 60.37
131.000 176.8 60.39
132.000 177.5 60.85
133.000 178.1 60.05
134.000 178.9 60.59
135.000 179.5 60.43
136.000 179.9 60.31
137.000 180.7 60.44
138.000 181.3 60.31
139.000 181.7 60.56
140.000 182.1 60.39
141.000 183.0 60.36
142.000 183.6 60.79
143.000 184.1 60.15
144.000 184.8 60.48
145.000 185.5 60.52
146.000 186.0 60.30
147.000 186.7 60.62
148.000 187.1 60.42
149.000 187.7 60.48
150.000 188.2 60.57
151.000 188.8 60.48
152.000 189.4 60.60
153.000 189.7 60.44
154.000 190.0 60.64
155.000 190.8 60.62
156.000 191.2 60.35
157.000 191.7 60.65
158.000 191.9 60.44
159.000 192.5 60.56
160.000 193.0 60.58
161.000 193.3 60.43
162.000 193.5 60.63
163.000 194.0 60.58
164.000 194.4 60.51
165.000 194.9 60.63
166.000 195.3 60.45
167.000 195.4 60.69
168.000 195.6 60.66
169.000 195.7 60.43
170.000 196.0 60.98
171.000 196.4 60.65
172.000 196.9 61.17
173.000 197.2 61.04
174.000 197.2 61.14
175.000 197.4 61.14
176.000 197.4 61.02
177.000 197.5 61.08
178.000 197.7 61.07
179.000 197.7 61.07
180.000 198.0 61.32
181.000 198.2 60.83
182.000 198.3 61.02
183.000 198.5 61.13
184.000 198.6 61.05
185.000 198.6 61.25
186.000 198.7 61.12
187.000 198.7 61.21
188.000 198.7 61.17
189.000 198.7 61.15
190.000 198.6 61.22
191.000 198.6 61.13
192.000 198.6 61.21
193.000 198.5 61.22
194.000 198.5 61.13
195.000 198.4 61.31
196.000 198.2 60.95
197.000 198.2 61.23
198.000 198.1 61.16
199.000 198.0 61.08
200.000 198.0 61.18
201.000 197.6 60.97
202.000 197.4 61.04
203.000 197.2 61.16
204.000 197.0 61.07
205.000 197.0 61.27
206.000 196.7 60.97
207.000 196.2 61.04
208.000 195.9 61.22
209.000 195.5 60.89
210.000 195.2 60.61
211.000 194.9 60.51
212.000 194.8 60.56
213.000 194.3 60.63
214.000 193.8 60.39
215.000 193.4 60.56
216.000 193.1 60.48
217.000 192.5 60.47
218.000 192.1 60.62
219.000 191.7 60.41
220.000 191.0 60.65
221.000 190.8 60.53
222.000 190.7 60.57
223.000 189.8 60.71
224.000 189.5 60.18
225.000 188.9 60.61
226.000 188.5 60.56
227.000 187.7 60.25
228.000 187.2 60.63
229.000 186.9 60.43
230.000 186.2 60.43
231.000 185.6 60.58
232.000 185.1 60.19
233.000 184.7 60.54
234.000 183.8 60.41
235.000 183.4 60.70
236.000 183.0 60.31
237.000 182.3 60.31
238.000 181.6 60.85
239.000 181.0 60.43
240.000 180.1 60.28
241.000 179.5 60.33
242.000 178.9 60.42
243.000 178.6 60.50
244.000 177.7 60.43
245.000 177.0 60.45
246.000 176.5 60.40
247.000 175.5 60.08
248.000 175.0 60.35
249.000 174.4 60.33
250.000 173.6 60.24
251.000 173.0 60.20
252.000 172.1 60.21
253.000 171.4 60.38
254.000 170.9 60.25
255.000 170.0 60.16
256.000 169.4 60.19
257.000 168.5 60.08
258.000 167.6 60.38
259.000 166.9 60.27
260.000 166.1 60.05
261.000 165.4 60.22
262.000 164.5 60.01
263.000 163.9 60.19
264.000 163.0 60.19
265.000 162.5 59.87
266.000 161.5 59.96
267.000 160.9 59.73
268.000 160.1 60.06
269.000 159.4 60.09
270.000 158.7 60.12
271.000 157.6 60.16
272.000 156.8 60.02
273.000 156.3 60.23
274.000 155.4 60.21
275.000 154.8 60.17
276.000 153.9 60.22
277.000 153.2 60.10
278.000 152.2 60.19
279.000 151.4 60.15
280.000 150.8 60.05
281.000 150.0 60.35
282.000 149.1 59.89
283.000 148.2 60.06
284.000 147.3 60.08
285.000 146.7 60.12
286.000 145.6 60.14
287.000 145.0 59.78
288.000 143.9 59.83
289.000 143.2 59.77
290.000 142.6 59.57
291.000 141.5 59.90
292.000 140.9 59.70
293.000 140.1 59.68
294.000 139.2 59.69
295.000 138.6 59.63
296.000 137.5 59.80
297.000 136.8 59.70
298.000 136.2 59.78
299.000 135.4 59.67
300.000 134.6 59.60
301.000 133.6 59.69
302.000 132.8 59.56
303.000 132.2 59.61
304.000 131.3 59.76
305.000 130.7 59.52
306.000 129.8 59.55
307.000 129.4 59.56
308.000 128.3 59.46
309.000 127.7 59.80
310.000 126.9 59.53
311.000 126.2 59.60
312.000 125.3 59.56
313.000 124.8 59.35
314.000 124.2 59.63
315.000 123.4 59.58
316.000 122.9 59.53
317.000 122.0 59.56
318.000 121.4 59.60
319.000 120.7 59.54
320.000 119.8 59.43
321.000 119.4 59.59
322.000 118.8 59.51
323.000 118.1 59.49
324.000 117.4 59.58
325.000 116.8 59.33
326.000 116.3 59.55
327.000 115.6 59.56
328.000 115.0 59.43
329.000 114.6 59.67
330.000 113.7 59.45
331.000 113.1 59.61
332.000 112.9 59.52
333.000 112.3 59.24
334.000 111.5 59.49
335.000 111.0 59.38
336.000 110.5 59.43
337.000 109.9 59.52
338.000 109.4 59.44
339.000 109.1 59.39
340.000 108.7 59.40
341.000 108.1 59.40
342.000 107.7 59.56
343.000 107.2 59.41
344.000 106.9 59.43
345.000 106.5 59.43
346.000 106.0 59.37
347.000 105.8 59.53
348.000 105.4 59.43
349.000 105.0 59.45
350.000 104.9 59.35
351.000 104.3 59.38
352.000 104.1 59.43
353.000 103.6 59.37
354.000 103.2 59.36
355.000 102.9 59.40
356.000 103.0 59.44
357.000 102.7 59.49
358.000 102.1 59.40
359.000 102.1 59.48
360.000 101.7 59.50
361.000 101.4 59.22
362.000 101.2 59.43
363.000 100.9 59.22
364.000 101.1 59.35
365.000 101.0 59.29
366.000 100.9 59.26
367.000 100.9 59.36
368.000 100.8 59.25
369.000 100.8 59.28
370.000 100.7 59.44
371.000 100.2 59.37
372.000 99.95 59.44
373.000 99.93 59.37
374.000 99.94 59.37
375.000 99.89 59.38
376.000 99.94 59.33
377.000 99.91 59.43
378.000 99.88 59.36
379.000 99.86 59.39
380.000 99.90 59.36
381.000 99.94 59.36
382.000 99.98 59.43
383.000 100.1 59.32
384.000 100.1 59.39
385.000 100.3 59.45
386.000 100.3 59.37
387.000 100.4 59.48
388.000 100.5 59.43
389.000 100.6 59.43
390.000 100.6 59.50
391.000 100.7 59.38
392.000 100.9 59.47
393.000 101.1 59.38
394.000 101.3 59.43
395.000 101.7 59.49
396.000 101.8 59.41
397.000 102.1 59.43
398.000 102.6 59.44
399.000 102.8 59.32
400.000 103.0 59.43
401.000 103.5 59.38
402.000 103.6 59.43
403.000 103.9 59.37
404.000 104.2 59.33
405.000 104.7 59.46
406.000 104.8 59.34
407.000 105.4 59.55
408.000 105.7 59.55
409.000 106.0 59.29
410.000 106.4 59.48
411.000 106.8 59.34
412.000 107.4 59.52
413.000 107.5 59.59
414.000 107.9 59.21
415.000 108.8 59.54
416.000 109.1 59.44
417.000 109.4 59.38
418.000 109.8 59.52
419.000 110.5 59.17
420.000 110.9 59.48
421.000 111.5 59.39
422.000 112.0 59.39
423.000 112.9 59.43
424.000 113.3 59.58
425.000 113.7 59.84
426.000 114.1 59.38
427.000 114.9 59.50
428.000 115.4 59.57
429.000 115.9 59.47
430.000 116.6 59.63
431.000 117.1 59.45
432.000 117.7 59.57
433.000 118.3 59.59
434.000 118.9 59.56
435.000 119.7 59.55
436.000 120.1 59.47
437.000 120.9 59.45
438.000 121.6 59.76
439.000 122.1 59.49
440.000 122.9 59.58
441.000 123.8 59.53
442.000 124.6 59.58
443.000 125.0 59.54
444.000 125.7 59.52
445.000 126.2 59.75
446.000 127.2 59.42
447.000 127.8 59.43
448.000 128.6 59.76
449.000 129.1 59.47
450.000 130.2 59.77
451.000 130.8 59.57
452.000 131.5 59.59
453.000 132.3 59.65
454.000 133.0 59.57
455.000 133.7 59.73
456.000 134.5 59.84
457.000 135.3 59.40
458.000 135.9 59.70
459.000 137.0 59.70
460.000 137.5 59.91
461.000 138.4 59.76
462.000 139.0 59.57
463.000 139.7 59.83
464.000 140.5 59.64
465.000 141.2 59.63
466.000 142.1 59.70
467.000 143.1 59.56
468.000 143.6 59.81
469.000 144.4 59.76
470.000 145.2 59.77
471.000 146.0 60.04
472.000 146.9 59.86
473.000 147.7 60.13
474.000 148.3 59.76
475.000 149.1 59.63
476.000 150.0 59.83
477.000 151.0 59.83
478.000 151.5 59.89
479.000 152.2 59.76
480.000 153.1 59.70
481.000 153.8 59.70
482.000 154.6 59.78
483.000 155.2 59.80
484.000 156.1 59.87
485.000 156.9 59.76
486.000 157.6 59.93
487.000 158.1 60.04
488.000 159.1 60.15
489.000 159.7 60.10
490.000 160.3 60.11
491.000 161.1 60.10
492.000 161.9 60.21
493.000 162.7 60.28
494.000 163.4 60.30
495.000 164.0 59.88
496.000 164.9 60.06
497.000 165.5 60.10
498.000 166.2 60.29
499.000 166.8 60.17
500.000 167.5 60.18
501.000 168.3 60.20
502.000 169.0 60.16
503.000 169.6 60.23
504.000 170.4 60.36
505.000 171.2 60.21
506.000 171.7 60.30
507.000 172.5 60.28
508.000 173.1 60.22
