 Masse A  
t x y 
0.000 129.1 58.76
1.000 128.8 58.63
2.000 128.8 58.68
3.000 128.4 58.09
4.000 128.0 58.68
5.000 127.7 58.76
6.000 127.6 58.81
7.000 127.5 58.77
8.000 127.0 58.81
9.000 127.0 58.75
10.000 126.8 58.81
11.000 126.7 58.73
12.000 126.5 58.56
13.000 126.2 58.73
14.000 125.9 58.75
15.000 125.9 58.81
16.000 125.7 58.82
17.000 125.7 58.85
18.000 125.5 58.81
19.000 125.3 58.74
20.000 124.9 58.72
21.000 124.9 58.77
22.000 124.9 58.77
23.000 124.9 58.77
24.000 124.6 58.66
25.000 124.3 58.72
26.000 124.2 58.76
27.000 124.2 58.80
28.000 124.2 58.67
29.000 124.1 58.77
30.000 124.1 58.69
31.000 124.2 58.70
32.000 124.1 58.73
33.000 124.1 58.66
34.000 124.2 58.67
35.000 124.1 58.59
36.000 124.1 58.59
37.000 124.2 58.64
38.000 124.2 58.63
39.000 124.2 58.64
40.000 124.2 58.62
41.000 124.3 58.65
42.000 124.3 58.71
43.000 124.3 58.65
44.000 124.3 58.68
45.000 124.3 58.57
46.000 124.4 58.69
47.000 124.5 58.63
48.000 124.7 58.62
49.000 124.9 58.70
50.000 125.0 58.78
51.000 125.1 58.69
52.000 125.2 58.65
53.000 125.2 58.71
54.000 125.4 58.76
55.000 125.4 58.70
56.000 125.7 58.63
57.000 126.0 58.67
58.000 126.2 58.59
59.000 126.2 58.60
60.000 126.4 58.68
61.000 126.5 58.71
62.000 126.8 58.73
63.000 127.1 58.76
64.000 127.2 58.76
65.000 127.3 58.75
66.000 127.4 58.77
67.000 127.6 58.82
68.000 127.8 58.72
69.000 128.0 58.63
70.000 128.2 58.53
71.000 128.5 58.63
72.000 128.7 58.76
73.000 129.1 58.73
74.000 129.2 58.70
75.000 129.4 58.77
76.000 129.5 58.76
77.000 129.7 58.86
78.000 130.3 58.82
79.000 130.5 58.79
80.000 130.6 58.75
81.000 131.0 58.76
82.000 131.3 58.91
83.000 131.5 58.83
84.000 131.6 58.71
85.000 131.9 58.74
86.000 132.5 58.72
87.000 132.5 58.70
88.000 132.7 58.75
89.000 133.3 58.67
90.000 133.5 58.80
91.000 133.8 58.77
92.000 134.1 58.77
93.000 134.4 58.76
94.000 134.8 58.78
95.000 135.3 58.77
96.000 135.5 58.72
97.000 135.9 58.72
98.000 136.1 58.83
99.000 136.4 58.84
100.000 136.7 58.84
101.000 137.1 58.79
102.000 137.5 58.87
103.000 137.5 58.81
104.000 137.8 58.74
105.000 138.3 58.73
106.000 138.6 58.80
107.000 138.8 58.76
108.000 139.2 58.95
109.000 139.6 59.00
110.000 139.9 58.92
111.000 140.3 58.96
112.000 140.6 58.97
113.000 141.1 58.79
114.000 141.4 58.84
115.000 141.6 58.93
116.000 141.9 58.77
117.000 142.3 58.91
118.000 142.7 58.90
119.000 143.2 58.98
120.000 143.5 59.10
121.000 143.7 58.79
122.000 144.1 58.91
123.000 144.6 58.97
124.000 144.7 58.89
125.000 145.2 58.93
126.000 145.5 58.93
127.000 145.6 58.99
128.000 145.8 58.87
129.000 146.2 58.81
130.000 146.6 58.83
131.000 147.0 59.01
132.000 147.3 58.94
133.000 147.4 58.90
134.000 147.7 58.83
135.000 148.3 58.89
136.000 148.5 58.79
137.000 148.8 58.91
138.000 149.1 59.13
139.000 149.4 59.01
140.000 149.5 59.07
141.000 149.8 58.92
142.000 150.1 58.90
143.000 150.5 58.95
144.000 150.9 59.07
145.000 151.2 58.96
146.000 151.4 58.90
147.000 151.7 58.85
148.000 152.1 58.93
149.000 152.4 58.98
150.000 152.7 58.99
151.000 153.0 58.97
152.000 153.2 58.92
153.000 153.3 58.94
154.000 153.5 58.87
155.000 153.6 58.96
156.000 154.0 58.98
157.000 154.1 58.92
158.000 154.6 58.94
159.000 154.9 58.92
160.000 155.1 58.91
161.000 155.2 58.96
162.000 155.3 58.92
163.000 155.4 59.02
164.000 155.7 59.06
165.000 156.0 59.08
166.000 156.2 59.05
167.000 156.5 59.03
168.000 156.5 58.97
169.000 156.7 58.95
170.000 157.0 58.92
171.000 157.2 58.97
172.000 157.3 58.99
173.000 157.4 59.04
174.000 157.4 59.01
175.000 157.5 58.96
176.000 157.5 58.97
177.000 157.5 58.99
178.000 157.7 58.94
179.000 158.1 58.94
180.000 158.3 58.97
181.000 158.4 58.96
182.000 158.4 58.92
183.000 158.5 58.85
184.000 158.6 58.91
185.000 158.7 58.96
186.000 159.0 58.98
187.000 159.1 58.91
188.000 159.1 58.90
189.000 159.1 58.94
190.000 159.2 58.93
191.000 159.2 58.95
192.000 159.3 58.95
193.000 159.3 58.97
194.000 159.3 58.99
195.000 159.3 58.97
196.000 159.4 59.03
197.000 159.3 58.94
198.000 159.4 58.93
199.000 159.3 58.96
200.000 159.3 58.95
201.000 159.4 59.00
202.000 159.3 58.95
203.000 159.3 58.94
204.000 159.4 59.02
205.000 159.3 58.92
206.000 159.3 59.00
207.000 159.2 58.92
208.000 159.2 58.91
209.000 159.2 58.98
210.000 159.2 58.93
211.000 159.1 58.98
212.000 159.0 58.93
213.000 159.0 58.95
214.000 158.9 58.95
215.000 158.8 58.97
216.000 158.8 58.96
217.000 158.8 58.96
218.000 158.7 58.97
219.000 158.7 59.00
220.000 158.5 58.94
221.000 158.1 58.97
222.000 158.0 58.98
223.000 157.9 58.93
224.000 157.8 59.05
225.000 157.6 58.97
226.000 157.2 59.02
227.000 157.1 58.99
228.000 157.0 59.02
229.000 156.9 59.03
230.000 156.8 59.03
231.000 156.7 59.05
232.000 156.5 59.02
233.000 156.1 59.07
234.000 155.9 59.05
235.000 155.8 58.98
236.000 155.7 58.98
237.000 155.3 58.96
238.000 155.1 58.94
239.000 154.9 58.93
240.000 154.6 58.91
241.000 154.0 58.95
242.000 154.0 58.92
243.000 153.6 58.93
244.000 153.4 58.94
245.000 153.0 58.95
246.000 153.0 58.95
247.000 152.8 59.02
248.000 152.7 58.95
249.000 152.3 59.03
250.000 152.0 58.85
251.000 151.4 58.89
252.000 151.0 58.98
253.000 151.0 58.95
254.000 150.6 58.87
255.000 150.3 58.87
256.000 149.8 58.89
257.000 149.8 59.00
258.000 149.4 59.02
259.000 149.0 58.98
260.000 148.7 58.95
261.000 148.4 58.85
262.000 147.8 58.94
263.000 147.5 58.89
264.000 147.1 58.99
265.000 146.9 58.98
266.000 146.7 58.99
267.000 146.3 59.02
268.000 145.9 58.87
269.000 145.7 58.84
270.000 145.3 58.89
271.000 144.9 58.85
272.000 144.5 59.02
273.000 144.0 58.85
274.000 143.6 58.97
275.000 143.2 59.00
276.000 142.8 59.03
277.000 142.4 58.98
278.000 141.9 58.89
279.000 141.6 58.93
280.000 141.0 58.92
281.000 140.9 58.85
282.000 140.6 58.92
283.000 140.0 58.89
284.000 139.6 58.89
285.000 139.1 58.83
286.000 138.8 58.80
287.000 138.5 58.91
288.000 138.1 58.76
