 Masse A  
t x y 
0.000 169.6 60.75
1.000 170.6 60.99
2.000 171.5 60.80
3.000 172.4 60.69
4.000 173.3 60.79
5.000 174.1 61.10
6.000 174.8 60.89
7.000 175.7 60.60
8.000 176.5 60.92
9.000 177.7 60.81
10.000 178.6 60.85
11.000 179.4 60.84
12.000 180.5 60.92
13.000 181.3 60.66
14.000 182.2 60.82
15.000 183.4 60.69
16.000 184.0 60.74
17.000 184.8 60.92
18.000 185.7 60.73
19.000 186.3 60.80
20.000 187.4 60.86
21.000 188.2 60.80
22.000 188.9 60.93
23.000 189.7 60.85
24.000 190.7 60.94
25.000 191.5 60.84
26.000 192.1 60.96
27.000 192.8 60.94
28.000 193.7 61.04
29.000 194.4 60.90
30.000 195.3 61.06
31.000 196.2 61.26
32.000 197.0 61.52
33.000 197.4 61.63
34.000 198.1 61.61
35.000 198.3 61.65
36.000 199.1 61.81
37.000 199.5 61.86
38.000 200.0 61.86
39.000 200.2 61.56
40.000 200.5 61.41
41.000 201.1 61.26
42.000 201.6 61.37
43.000 202.1 61.36
44.000 202.8 61.24
45.000 203.3 60.95
46.000 203.7 60.92
47.000 203.9 60.99
48.000 204.1 60.90
49.000 204.4 60.99
50.000 205.0 61.01
51.000 205.3 60.94
52.000 205.6 60.93
53.000 205.7 60.82
54.000 206.0 60.97
55.000 206.2 60.86
56.000 206.7 61.06
57.000 206.9 61.05
58.000 207.1 61.10
59.000 207.3 60.99
60.000 207.6 60.96
61.000 207.7 61.01
62.000 207.8 60.99
63.000 207.9 61.00
64.000 207.9 60.97
65.000 208.0 61.04
66.000 208.1 61.03
67.000 208.1 60.87
68.000 208.5 60.91
69.000 208.6 60.98
70.000 208.6 60.94
71.000 208.7 60.96
72.000 208.7 61.04
73.000 208.7 60.96
74.000 208.7 61.00
75.000 208.6 60.92
76.000 208.6 60.93
77.000 208.5 60.98
78.000 208.5 60.91
79.000 208.3 61.01
80.000 208.3 60.94
81.000 208.2 60.97
82.000 208.1 60.96
83.000 208.1 61.09
84.000 207.6 60.93
85.000 207.4 60.86
86.000 207.3 60.85
87.000 206.9 61.07
88.000 206.6 60.92
89.000 206.3 60.85
90.000 206.2 60.81
91.000 206.0 60.99
92.000 205.5 60.99
93.000 205.3 60.82
94.000 205.1 60.74
95.000 204.7 60.90
96.000 204.3 60.87
97.000 203.8 61.08
98.000 203.5 60.87
99.000 203.1 61.11
100.000 202.5 60.94
101.000 202.1 60.86
102.000 201.8 60.98
103.000 201.3 60.82
104.000 200.9 61.22
105.000 200.1 61.47
106.000 199.7 61.65
107.000 199.3 61.56
108.000 199.0 61.73
109.000 198.3 61.58
110.000 198.0 61.93
111.000 197.1 61.41
112.000 196.4 61.60
113.000 195.9 61.39
114.000 194.9 61.39
115.000 194.3 61.12
116.000 193.9 60.93
117.000 193.2 60.89
118.000 192.5 60.89
119.000 191.7 60.87
120.000 191.0 60.92
121.000 190.1 60.81
122.000 189.5 60.84
123.000 188.8 60.86
124.000 187.8 60.86
125.000 187.3 60.79
126.000 186.6 60.89
127.000 185.8 60.81
128.000 185.0 60.60
129.000 184.0 60.74
130.000 183.4 60.75
131.000 182.4 60.84
132.000 181.6 60.76
133.000 181.0 60.80
134.000 180.0 60.77
135.000 179.2 60.84
136.000 178.4 60.68
137.000 177.8 60.78
138.000 176.8 60.67
139.000 175.9 60.75
140.000 175.1 60.88
141.000 174.2 60.67
142.000 173.6 60.74
143.000 172.7 60.71
144.000 171.8 60.61
145.000 170.9 60.71
146.000 169.8 60.64
147.000 168.9 60.64
148.000 167.9 60.63
