 Masse A  
t x y 
0.000 147.7 60.75
1.000 148.8 60.80
2.000 150.1 60.77
3.000 151.4 60.56
4.000 152.7 60.78
5.000 154.0 60.79
6.000 155.4 60.77
7.000 156.8 60.84
8.000 158.1 60.84
9.000 159.2 60.58
10.000 160.7 60.76
11.000 162.1 60.87
12.000 163.4 60.74
13.000 165.0 60.77
14.000 166.1 60.99
15.000 167.5 60.75
16.000 169.2 60.89
17.000 170.5 60.94
18.000 172.0 60.96
19.000 173.3 60.88
20.000 175.4 60.94
21.000 176.5 61.02
22.000 177.8 60.89
23.000 179.2 60.94
24.000 181.1 61.07
25.000 182.4 60.84
26.000 183.8 61.10
27.000 185.4 60.95
28.000 187.0 61.17
29.000 188.5 61.07
30.000 189.9 61.14
31.000 191.5 60.99
32.000 193.3 61.19
33.000 194.9 61.23
34.000 196.6 61.22
35.000 198.1 61.13
36.000 199.7 61.15
37.000 201.0 61.51
38.000 202.5 61.53
39.000 204.0 61.65
40.000 205.4 61.75
41.000 207.0 61.63
42.000 208.4 61.71
43.000 210.0 61.80
44.000 211.4 61.91
45.000 213.1 61.99
46.000 214.1 61.68
47.000 215.5 61.92
48.000 217.2 61.67
49.000 218.4 61.89
50.000 220.0 61.67
51.000 221.3 61.79
52.000 222.5 62.12
53.000 223.9 61.89
54.000 225.3 61.89
55.000 226.8 61.88
56.000 227.7 61.88
57.000 229.0 61.82
58.000 230.1 61.80
59.000 231.2 61.88
60.000 232.9 61.98
61.000 234.1 61.96
62.000 235.3 61.97
63.000 236.7 61.96
64.000 237.9 61.91
65.000 239.6 62.13
66.000 240.5 61.88
67.000 242.0 61.97
68.000 243.0 62.10
69.000 244.1 62.09
70.000 245.5 62.11
71.000 246.8 62.04
72.000 248.0 62.23
73.000 249.2 62.18
74.000 250.1 62.10
75.000 251.3 62.12
76.000 252.4 62.04
77.000 253.7 62.08
78.000 254.9 62.18
79.000 255.9 62.14
80.000 257.1 62.24
81.000 257.9 62.17
82.000 259.0 62.19
83.000 259.8 62.05
84.000 260.9 62.07
85.000 261.9 62.28
86.000 262.9 62.37
87.000 263.7 62.45
88.000 264.7 62.55
89.000 265.7 62.51
90.000 266.3 62.52
91.000 267.6 62.64
92.000 268.4 62.61
93.000 269.3 62.65
94.000 270.0 62.62
95.000 270.5 62.69
96.000 271.5 62.60
97.000 272.2 62.54
98.000 272.8 62.60
99.000 273.5 62.69
100.000 274.1 62.56
101.000 274.7 62.71
102.000 275.5 62.69
103.000 276.2 62.63
104.000 276.9 62.66
105.000 277.4 62.68
106.000 277.9 62.70
107.000 278.4 62.71
108.000 279.1 62.69
109.000 279.5 62.60
110.000 279.9 62.70
111.000 280.3 62.69
112.000 280.9 62.72
113.000 281.2 62.70
114.000 281.6 62.66
115.000 281.8 62.79
116.000 282.1 62.74
117.000 282.2 62.70
118.000 282.4 62.75
119.000 283.2 62.74
120.000 283.1 62.74
121.000 283.3 62.79
122.000 283.8 62.73
123.000 283.8 62.77
124.000 283.8 62.74
125.000 284.1 62.77
126.000 284.0 62.73
127.000 284.1 62.73
128.000 284.1 62.74
129.000 284.1 62.74
130.000 284.1 62.77
131.000 284.1 62.74
132.000 284.0 62.68
