 Masse A  
t x y 
245.000 -23.75 58.90
246.000 -23.77 58.87
247.000 -23.73 58.89
248.000 -23.66 58.87
249.000 -23.64 58.94
250.000 -23.66 58.89
251.000 -23.68 58.88
252.000 -23.54 58.86
253.000 -23.50 58.84
254.000 -23.52 58.87
255.000 -23.44 58.84
256.000 -23.43 58.82
257.000 -23.38 58.80
258.000 -23.08 58.76
259.000 -23.02 58.81
260.000 -22.93 58.79
261.000 -22.94 58.78
262.000 -22.91 58.78
263.000 -22.85 58.79
264.000 -22.71 58.82
265.000 -22.74 58.87
266.000 -22.72 58.83
267.000 -22.71 58.89
268.000 -22.65 58.85
269.000 -22.61 58.89
270.000 -22.64 58.89
271.000 -22.61 58.86
272.000 -22.56 58.88
273.000 -22.56 58.85
274.000 -22.52 58.87
275.000 -22.48 58.85
276.000 -22.44 58.81
277.000 -22.34 58.77
278.000 -22.10 58.75
279.000 -22.05 58.79
280.000 -22.01 58.79
281.000 -22.01 58.77
282.000 -21.92 58.81
283.000 -21.89 58.75
284.000 -21.89 58.80
285.000 -21.83 58.79
286.000 -21.80 58.79
287.000 -21.82 58.79
288.000 -21.75 58.79
289.000 -21.71 58.78
290.000 -21.66 58.79
291.000 -21.65 58.79
292.000 -21.65 58.82
293.000 -21.63 58.79
294.000 -21.62 58.80
295.000 -21.63 58.84
296.000 -21.62 58.80
297.000 -21.60 58.84
298.000 -21.58 58.81
299.000 -21.57 58.81
300.000 -21.42 58.89
301.000 -21.48 58.81
302.000 -21.50 58.86
303.000 -21.49 58.83
304.000 -21.43 58.84
305.000 -21.43 58.87
306.000 -21.50 58.82
307.000 -21.49 58.85
308.000 -21.48 58.86
309.000 -21.49 58.82
310.000 -21.50 58.85
311.000 -21.51 58.80
312.000 -21.48 58.88
313.000 -21.44 58.83
314.000 -21.43 58.85
315.000 -21.44 58.84
316.000 -21.44 58.84
317.000 -21.43 58.86
318.000 -21.43 58.86
319.000 -21.45 58.85
320.000 -21.37 58.71
321.000 -21.18 58.70
322.000 -21.07 58.73
323.000 -21.09 58.75
324.000 -21.11 58.77
325.000 -21.10 58.78
326.000 -21.08 58.76
327.000 -21.12 58.76
328.000 -21.10 58.77
329.000 -21.11 58.73
330.000 -21.13 58.75
331.000 -21.14 58.74
332.000 -21.12 58.74
333.000 -21.15 58.75
334.000 -21.19 58.74
335.000 -21.17 58.76
336.000 -21.25 58.74
337.000 -21.24 58.69
338.000 -21.22 58.71
339.000 -21.22 58.71
340.000 -21.24 58.72
341.000 -21.22 58.72
342.000 -21.27 58.70
343.000 -21.25 58.72
344.000 -21.33 58.69
345.000 -21.27 58.73
346.000 -21.31 58.71
347.000 -21.34 58.73
348.000 -21.41 58.83
349.000 -21.76 58.78
350.000 -21.90 58.79
351.000 -21.86 58.79
352.000 -21.92 58.76
353.000 -21.97 58.80
354.000 -22.04 58.76
355.000 -21.98 58.78
356.000 -22.05 58.77
357.000 -22.10 58.77
358.000 -22.14 58.80
359.000 -22.14 58.78
360.000 -22.22 58.82
361.000 -22.23 58.85
362.000 -22.24 58.79
363.000 -22.26 58.86
364.000 -22.32 58.84
365.000 -22.32 58.82
366.000 -22.36 58.83
367.000 -22.42 58.86
368.000 -22.72 58.87
369.000 -22.77 58.82
370.000 -22.79 58.85
371.000 -22.84 58.83
372.000 -22.94 58.79
373.000 -22.98 58.84
374.000 -22.94 58.78
375.000 -23.05 58.80
376.000 -23.04 58.84
377.000 -23.13 58.82
378.000 -23.12 58.86
379.000 -23.12 58.84
380.000 -23.13 58.85
381.000 -23.18 58.88
382.000 -23.18 58.86
383.000 -23.24 58.89
384.000 -23.29 58.96
385.000 -23.32 58.83
386.000 -23.31 58.87
387.000 -23.31 58.84
388.000 -23.47 58.89
389.000 -23.81 58.86
390.000 -23.93 58.84
391.000 -24.05 58.88
392.000 -24.04 58.83
393.000 -24.13 58.85
394.000 -24.13 58.86
395.000 -24.16 58.85
396.000 -24.42 58.95
397.000 -24.64 58.89
398.000 -24.69 58.90
399.000 -24.74 58.88
400.000 -24.76 58.87
401.000 -24.78 58.87
402.000 -24.81 58.88
403.000 -24.82 58.89
404.000 -24.82 58.89
405.000 -24.88 58.87
406.000 -24.92 58.85
407.000 -24.98 58.84
408.000 -25.03 58.87
409.000 -25.01 58.88
410.000 -25.03 58.86
411.000 -25.09 58.87
412.000 -25.09 58.86
413.000 -25.15 58.86
414.000 -25.16 58.85
415.000 -25.21 58.82
416.000 -25.17 58.82
417.000 -25.20 58.79
418.000 -25.23 58.76
419.000 -25.24 58.77
420.000 -25.29 58.70
421.000 -25.34 58.71
422.000 -25.38 58.73
423.000 -25.38 58.68
424.000 -25.41 58.75
425.000 -25.89 58.73
426.000 -25.99 58.77
427.000 -26.00 58.74
428.000 -26.03 58.75
429.000 -26.05 58.75
430.000 -26.06 58.78
431.000 -26.10 58.77
432.000 -26.26 58.80
433.000 -26.25 58.71
434.000 -26.25 58.73
435.000 -26.23 58.72
