 Masse A  
t x y 
0.000 -32.97 55.76
1.000 -32.98 55.75
2.000 -32.92 55.80
3.000 -32.83 55.71
4.000 -32.78 55.76
5.000 -32.76 55.81
6.000 -32.68 55.79
7.000 -32.50 55.85
8.000 -32.40 55.81
9.000 -31.93 55.81
10.000 -31.60 55.74
11.000 -31.38 55.76
12.000 -30.98 55.79
13.000 -30.89 55.75
14.000 -30.63 55.69
15.000 -30.69 55.75
16.000 -30.49 55.80
17.000 -30.41 55.73
18.000 -29.91 55.71
19.000 -29.78 55.68
20.000 -29.46 55.73
21.000 -29.17 55.68
22.000 -28.95 55.71
23.000 -28.93 55.69
24.000 -28.70 55.68
25.000 -28.53 55.72
26.000 -28.11 55.64
27.000 -27.80 55.73
28.000 -27.39 55.69
29.000 -27.12 55.66
30.000 -26.95 55.71
31.000 -26.68 55.79
32.000 -26.62 55.84
33.000 -26.24 55.70
34.000 -25.71 55.69
35.000 -25.62 55.67
36.000 -25.31 55.68
37.000 -24.79 55.69
38.000 -24.73 55.72
39.000 -24.61 55.62
40.000 -24.08 55.69
41.000 -23.65 55.77
42.000 -23.51 55.82
43.000 -23.23 55.85
44.000 -22.76 55.75
45.000 -22.47 55.71
46.000 -22.38 55.57
47.000 -21.69 55.59
48.000 -21.39 55.82
49.000 -20.89 55.78
50.000 -20.82 55.74
51.000 -20.43 55.70
52.000 -19.67 55.59
53.000 -19.58 55.66
54.000 -19.31 55.60
55.000 -18.92 55.61
56.000 -18.53 55.71
57.000 -18.09 55.66
58.000 -17.70 55.68
59.000 -17.39 55.56
60.000 -17.06 55.72
61.000 -16.61 55.75
62.000 -16.41 55.73
63.000 -15.56 55.68
64.000 -15.35 55.51
65.000 -15.02 55.63
66.000 -14.62 55.65
67.000 -14.28 55.56
68.000 -13.83 55.67
69.000 -13.55 55.82
70.000 -13.24 55.57
71.000 -12.72 55.78
72.000 -12.45 55.62
73.000 -11.89 55.71
74.000 -11.40 55.72
75.000 -10.83 55.62
76.000 -10.45 55.58
77.000 -9.714 55.52
78.000 -9.538 55.59
79.000 -9.337 55.69
80.000 -8.927 55.65
81.000 -8.660 55.72
82.000 -8.159 55.66
83.000 -7.645 55.56
84.000 -7.318 55.67
85.000 -6.740 55.65
86.000 -6.404 55.67
87.000 -5.690 55.68
88.000 -5.376 55.72
89.000 -4.913 55.79
90.000 -4.921 55.78
91.000 -4.600 55.89
92.000 -4.223 55.59
93.000 -3.640 55.60
94.000 -3.330 55.66
95.000 -3.053 55.65
96.000 -2.636 55.65
97.000 -2.143 55.62
98.000 -1.530 55.63
99.000 -1.244 55.65
100.000 -0.805 55.55
101.000 -0.652 55.64
102.000 -0.151 55.62
103.000 0.289 55.71
104.000 0.670 55.55
105.000 1.240 55.48
106.000 1.543 55.50
107.000 1.932 55.57
108.000 2.388 55.67
109.000 2.594 55.94
110.000 3.141 55.80
111.000 3.217 55.85
112.000 3.529 55.76
113.000 3.828 55.67
114.000 4.202 55.77
115.000 4.687 55.80
116.000 4.978 55.74
117.000 5.328 55.54
118.000 5.612 55.54
119.000 6.187 55.53
120.000 6.546 55.59
121.000 6.808 55.68
122.000 7.150 55.69
123.000 7.231 55.62
124.000 7.667 55.67
125.000 8.158 55.70
126.000 8.357 55.68
127.000 8.377 55.74
128.000 8.801 55.65
129.000 9.050 55.73
130.000 9.448 55.79
131.000 9.455 55.74
132.000 9.839 55.78
133.000 10.18 55.76
134.000 10.67 55.85
135.000 10.94 55.73
136.000 11.28 55.64
