 Masse A  
t x y 
255.000 -26.70 57.47
256.000 -27.01 57.31
257.000 -27.28 57.50
258.000 -27.29 57.29
259.000 -27.30 57.41
260.000 -27.65 57.60
261.000 -28.13 57.38
262.000 -28.31 57.51
263.000 -28.30 57.43
264.000 -28.39 57.36
265.000 -28.67 57.56
266.000 -29.18 57.18
267.000 -29.30 57.46
268.000 -29.37 57.27
269.000 -29.67 57.46
270.000 -29.91 57.52
271.000 -30.11 57.34
272.000 -30.14 57.48
273.000 -30.30 57.35
274.000 -30.45 57.31
275.000 -30.68 57.45
276.000 -30.89 57.28
277.000 -30.88 57.71
278.000 -30.97 57.59
279.000 -30.98 57.47
280.000 -31.06 57.58
281.000 -31.16 57.29
282.000 -31.45 57.73
283.000 -31.63 57.59
284.000 -31.79 57.50
285.000 -31.82 57.58
286.000 -31.90 57.44
287.000 -32.00 57.61
288.000 -31.93 57.56
289.000 -32.02 57.44
290.000 -32.01 57.60
291.000 -32.02 57.45
292.000 -32.04 57.57
293.000 -32.07 57.50
294.000 -32.10 57.47
295.000 -32.12 57.54
296.000 -32.08 57.47
297.000 -32.11 57.54
298.000 -32.16 57.50
299.000 -32.10 57.48
300.000 -32.13 57.60
301.000 -32.12 57.43
302.000 -32.11 57.52
303.000 -32.10 57.52
304.000 -32.10 57.45
305.000 -32.07 57.56
306.000 -32.09 57.46
307.000 -32.02 57.53
308.000 -31.98 57.53
309.000 -31.96 57.44
310.000 -31.93 57.57
311.000 -31.88 57.46
312.000 -31.75 57.46
313.000 -31.74 57.57
314.000 -31.71 57.45
315.000 -31.60 57.72
316.000 -31.52 57.42
317.000 -31.45 57.60
318.000 -31.11 57.51
319.000 -30.94 57.43
320.000 -30.84 57.56
321.000 -30.85 57.24
322.000 -30.73 57.37
323.000 -30.67 57.40
324.000 -30.49 57.31
325.000 -30.32 57.57
326.000 -30.06 57.46
327.000 -29.89 57.44
328.000 -29.67 57.56
329.000 -29.61 57.23
330.000 -29.55 57.71
331.000 -29.46 57.55
332.000 -29.18 57.45
333.000 -28.63 57.61
334.000 -28.62 57.44
335.000 -28.43 57.59
336.000 -28.21 57.49
337.000 -27.80 57.48
338.000 -27.62 57.60
339.000 -27.61 57.42
340.000 -27.49 57.52
341.000 -27.20 57.35
342.000 -26.88 57.29
343.000 -26.59 57.67
344.000 -26.27 57.19
345.000 -26.03 57.72
346.000 -25.70 57.63
347.000 -25.32 57.37
348.000 -24.99 57.45
349.000 -24.70 57.33
350.000 -24.49 57.40
351.000 -24.26 57.37
352.000 -23.89 57.30
353.000 -23.59 57.61
354.000 -23.43 57.27
355.000 -23.07 57.45
356.000 -22.76 57.45
357.000 -22.44 57.35
358.000 -22.15 57.46
359.000 -21.96 57.39
360.000 -21.69 57.42
361.000 -21.27 57.45
362.000 -20.68 57.23
363.000 -20.57 57.60
364.000 -20.22 57.33
365.000 -19.90 57.37
366.000 -19.56 57.64
367.000 -19.41 57.10
368.000 -18.85 57.76
369.000 -18.51 57.34
370.000 -18.15 57.27
371.000 -17.79 57.61
372.000 -17.46 57.48
373.000 -17.36 57.41
374.000 -16.68 57.26
375.000 -16.34 57.23
376.000 -15.89 57.66
377.000 -15.55 57.33
378.000 -15.37 57.67
379.000 -14.79 57.57
380.000 -14.51 57.52
381.000 -14.14 57.39
382.000 -13.91 57.32
383.000 -13.59 57.56
384.000 -13.32 57.51
385.000 -12.75 57.42
386.000 -12.33 57.47
387.000 -12.00 57.27
388.000 -11.57 57.54
389.000 -11.17 57.36
390.000 -10.69 57.50
391.000 -10.36 57.53
392.000 -10.11 57.42
393.000 -9.733 57.54
394.000 -9.453 57.50
395.000 -9.080 57.44
396.000 -8.565 57.58
397.000 -8.228 57.19
398.000 -7.851 57.47
399.000 -7.552 57.43
400.000 -7.263 57.32
401.000 -6.632 57.69
402.000 -6.322 57.40
403.000 -6.073 57.58
404.000 -5.745 57.62
405.000 -5.420 57.35
406.000 -4.777 57.55
407.000 -4.520 57.41
408.000 -4.301 57.50
409.000 -3.835 57.62
410.000 -3.673 57.54
411.000 -3.156 57.49
412.000 -2.611 57.50
413.000 -2.360 57.46
414.000 -1.850 57.53
415.000 -1.788 57.53
416.000 -1.461 57.48
417.000 -1.098 57.33
418.000 -0.460 57.41
419.000 -0.261 57.35
420.000 -2.618E-2 57.32
421.000 0.278 57.52
422.000 0.658 57.44
423.000 0.941 57.62
424.000 1.394 57.68
425.000 1.658 57.39
426.000 1.892 57.57
427.000 2.097 57.45
428.000 2.469 57.48
429.000 2.805 57.47
430.000 3.225 57.44
431.000 3.664 57.56
432.000 3.994 57.52
433.000 3.959 57.44
434.000 4.219 57.45
435.000 4.578 57.30
436.000 5.077 57.47
437.000 5.184 57.44
438.000 5.525 57.50
439.000 5.602 57.45
440.000 6.100 57.40
441.000 6.148 57.49
442.000 6.444 57.46
443.000 6.505 57.51
444.000 6.978 57.55
445.000 7.212 57.44
446.000 7.502 57.56
447.000 7.781 57.41
448.000 7.961 57.39
449.000 8.075 57.58
450.000 8.210 57.47
451.000 8.563 57.62
452.000 8.449 57.62
453.000 8.911 57.51
454.000 9.199 57.60
455.000 9.452 57.48
456.000 9.715 57.46
457.000 9.940 57.49
458.000 10.06 57.42
459.000 10.09 57.56
460.000 10.23 57.45
461.000 10.29 57.51
462.000 10.36 57.55
463.000 10.43 57.45
464.000 10.66 57.50
465.000 11.11 57.51
466.000 11.21 57.58
467.000 11.26 57.56
468.000 11.41 57.46
469.000 11.46 57.58
470.000 11.57 57.55
471.000 11.65 57.48
472.000 11.96 57.61
473.000 12.05 57.51
474.000 12.14 57.55
475.000 12.12 57.57
476.000 12.17 57.53
477.000 12.23 57.54
478.000 12.25 57.46
479.000 12.22 57.51
480.000 12.35 57.47
481.000 12.31 57.50
482.000 12.36 57.51
483.000 12.37 57.45
484.000 12.42 57.53
485.000 12.45 57.43
486.000 12.39 57.52
487.000 12.42 57.58
488.000 12.47 57.46
489.000 12.47 57.59
490.000 12.48 57.50
491.000 12.48 57.49
492.000 12.37 57.64
493.000 12.37 57.41
494.000 12.39 57.54
495.000 12.38 57.51
496.000 12.37 57.49
497.000 12.34 57.57
498.000 12.32 57.42
499.000 12.30 57.58
