 Masse A  
t x y 
0.000 1.192E3 -92.46
1.000 1.193E3 -92.49
2.000 1.193E3 -92.49
3.000 1.193E3 -92.16
4.000 1.193E3 -92.22
5.000 1.193E3 -92.25
6.000 1.193E3 -92.27
7.000 1.193E3 -92.34
8.000 1.193E3 -92.25
9.000 1.193E3 -92.28
10.000 1.193E3 -92.29
11.000 1.193E3 -92.28
12.000 1.193E3 -92.46
13.000 1.193E3 -92.40
14.000 1.193E3 -92.38
15.000 1.192E3 -92.32
16.000 1.192E3 -92.26
17.000 1.192E3 -92.42
18.000 1.192E3 -92.26
19.000 1.192E3 -92.43
20.000 1.192E3 -92.35
21.000 1.192E3 -92.27
22.000 1.192E3 -92.53
23.000 1.191E3 -92.40
24.000 1.191E3 -92.35
25.000 1.191E3 -92.26
26.000 1.191E3 -92.27
27.000 1.190E3 -92.43
28.000 1.190E3 -92.32
29.000 1.190E3 -92.44
30.000 1.190E3 -92.35
31.000 1.190E3 -92.22
32.000 1.189E3 -92.38
33.000 1.189E3 -92.29
34.000 1.188E3 -92.40
35.000 1.188E3 -92.32
36.000 1.187E3 -92.35
37.000 1.187E3 -92.51
38.000 1.187E3 -92.18
39.000 1.186E3 -92.45
40.000 1.186E3 -92.30
41.000 1.186E3 -92.35
42.000 1.185E3 -92.44
43.000 1.185E3 -92.30
44.000 1.185E3 -92.45
45.000 1.184E3 -92.47
46.000 1.184E3 -92.34
47.000 1.183E3 -92.47
48.000 1.183E3 -92.25
49.000 1.182E3 -92.44
50.000 1.182E3 -92.14
51.000 1.181E3 -92.22
52.000 1.181E3 -92.38
53.000 1.180E3 -92.17
54.000 1.180E3 -92.31
55.000 1.179E3 -92.45
56.000 1.179E3 -92.26
57.000 1.178E3 -92.49
58.000 1.177E3 -92.38
59.000 1.177E3 -92.48
60.000 1.176E3 -92.36
61.000 1.176E3 -92.55
62.000 1.175E3 -92.77
63.000 1.175E3 -92.48
64.000 1.174E3 -92.49
65.000 1.173E3 -92.47
66.000 1.172E3 -92.32
67.000 1.172E3 -92.53
68.000 1.171E3 -92.37
69.000 1.170E3 -92.58
70.000 1.169E3 -92.77
71.000 1.169E3 -92.53
72.000 1.168E3 -92.66
73.000 1.167E3 -92.45
74.000 1.166E3 -92.64
75.000 1.165E3 -92.67
76.000 1.165E3 -92.52
77.000 1.164E3 -92.68
78.000 1.163E3 -92.57
79.000 1.163E3 -92.53
80.000 1.162E3 -92.73
81.000 1.160E3 -92.45
82.000 1.160E3 -92.73
83.000 1.159E3 -92.62
84.000 1.158E3 -92.71
85.000 1.157E3 -92.68
86.000 1.156E3 -92.57
87.000 1.155E3 -92.80
88.000 1.154E3 -92.51
89.000 1.153E3 -92.76
90.000 1.152E3 -92.87
91.000 1.151E3 -92.74
92.000 1.150E3 -92.95
93.000 1.150E3 -92.71
94.000 1.148E3 -93.01
95.000 1.148E3 -93.18
96.000 1.146E3 -93.14
97.000 1.145E3 -93.55
98.000 1.144E3 -93.32
99.000 1.143E3 -93.32
100.000 1.142E3 -93.27
101.000 1.141E3 -93.19
102.000 1.140E3 -93.16
103.000 1.139E3 -92.91
104.000 1.138E3 -92.90
105.000 1.137E3 -93.00
106.000 1.136E3 -92.89
107.000 1.135E3 -92.99
108.000 1.134E3 -92.82
109.000 1.132E3 -92.80
110.000 1.131E3 -92.95
111.000 1.130E3 -92.92
112.000 1.129E3 -93.14
113.000 1.128E3 -93.11
114.000 1.126E3 -93.38
115.000 1.125E3 -93.79
116.000 1.124E3 -93.50
117.000 1.123E3 -93.70
118.000 1.122E3 -93.51
119.000 1.121E3 -93.55
120.000 1.120E3 -93.65
121.000 1.119E3 -93.31
122.000 1.118E3 -93.54
123.000 1.116E3 -93.24
124.000 1.115E3 -93.44
125.000 1.114E3 -93.60
126.000 1.113E3 -93.46
127.000 1.112E3 -93.84
128.000 1.111E3 -93.46
129.000 1.109E3 -93.70
130.000 1.108E3 -93.89
131.000 1.107E3 -93.57
132.000 1.106E3 -93.97
133.000 1.104E3 -93.95
134.000 1.103E3 -93.72
135.000 1.102E3 -93.83
136.000 1.101E3 -93.71
137.000 1.099E3 -93.80
138.000 1.098E3 -93.69
139.000 1.097E3 -93.77
140.000 1.096E3 -94.00
141.000 1.095E3 -93.98
142.000 1.094E3 -94.21
143.000 1.092E3 -94.00
144.000 1.091E3 -94.33
145.000 1.090E3 -94.21
146.000 1.089E3 -94.16
147.000 1.088E3 -94.50
148.000 1.087E3 -94.29
149.000 1.086E3 -94.36
150.000 1.084E3 -94.52
151.000 1.083E3 -94.22
152.000 1.082E3 -94.58
153.000 1.081E3 -94.45
154.000 1.079E3 -94.39
155.000 1.079E3 -94.39
156.000 1.077E3 -94.07
157.000 1.076E3 -94.69
158.000 1.075E3 -94.50
159.000 1.074E3 -94.46
160.000 1.073E3 -94.64
161.000 1.072E3 -94.42
162.000 1.070E3 -94.62
163.000 1.069E3 -94.54
164.000 1.068E3 -94.59
165.000 1.067E3 -94.58
166.000 1.066E3 -94.48
167.000 1.065E3 -94.73
168.000 1.064E3 -94.78
169.000 1.063E3 -94.79
170.000 1.062E3 -94.77
171.000 1.061E3 -94.53
172.000 1.059E3 -94.65
173.000 1.058E3 -94.52
174.000 1.057E3 -94.63
175.000 1.057E3 -94.86
176.000 1.056E3 -94.58
177.000 1.054E3 -94.94
178.000 1.053E3 -94.81
179.000 1.052E3 -94.88
180.000 1.052E3 -95.10
181.000 1.050E3 -95.04
182.000 1.050E3 -95.35
183.000 1.049E3 -95.12
184.000 1.048E3 -95.00
185.000 1.047E3 -95.25
186.000 1.046E3 -95.11
187.000 1.045E3 -95.43
188.000 1.044E3 -95.35
189.000 1.043E3 -95.20
190.000 1.042E3 -95.38
191.000 1.041E3 -95.23
192.000 1.040E3 -95.45
193.000 1.040E3 -95.54
194.000 1.039E3 -95.40
195.000 1.038E3 -95.65
196.000 1.037E3 -95.38
197.000 1.036E3 -95.44
198.000 1.035E3 -95.51
199.000 1.035E3 -95.42
200.000 1.034E3 -95.53
201.000 1.033E3 -95.37
202.000 1.032E3 -95.51
203.000 1.031E3 -95.57
204.000 1.031E3 -95.56
205.000 1.030E3 -95.73
206.000 1.029E3 -95.56
207.000 1.029E3 -95.62
208.000 1.028E3 -95.64
209.000 1.027E3 -95.60
210.000 1.027E3 -95.66
211.000 1.026E3 -95.53
212.000 1.025E3 -95.77
213.000 1.025E3 -95.71
214.000 1.024E3 -95.60
215.000 1.024E3 -95.86
216.000 1.023E3 -95.72
217.000 1.023E3 -95.80
218.000 1.022E3 -95.90
219.000 1.022E3 -95.66
220.000 1.021E3 -95.95
221.000 1.021E3 -95.68
222.000 1.020E3 -95.95
223.000 1.020E3 -95.78
224.000 1.019E3 -95.85
225.000 1.019E3 -95.94
226.000 1.018E3 -95.81
227.000 1.018E3 -95.99
228.000 1.018E3 -96.15
229.000 1.017E3 -96.14
230.000 1.017E3 -96.36
231.000 1.017E3 -96.05
232.000 1.016E3 -96.29
233.000 1.016E3 -96.16
234.000 1.016E3 -96.03
235.000 1.016E3 -96.20
236.000 1.015E3 -96.08
237.000 1.015E3 -96.13
238.000 1.015E3 -95.97
239.000 1.014E3 -95.99
240.000 1.014E3 -96.23
241.000 1.014E3 -95.83
242.000 1.014E3 -96.04
243.000 1.014E3 -96.06
244.000 1.013E3 -96.16
245.000 1.013E3 -96.26
246.000 1.013E3 -96.08
247.000 1.013E3 -96.27
248.000 1.013E3 -96.22
249.000 1.013E3 -96.22
250.000 1.013E3 -96.37
251.000 1.013E3 -96.22
252.000 1.013E3 -96.26
253.000 1.013E3 -96.17
254.000 1.013E3 -96.22
255.000 1.013E3 -96.67
256.000 1.013E3 -96.24
257.000 1.013E3 -96.43
258.000 1.013E3 -96.37
259.000 1.013E3 -96.09
260.000 1.013E3 -96.45
261.000 1.013E3 -96.11
262.000 1.013E3 -96.27
263.000 1.013E3 -96.21
