 Masse A  
t x y 
0.000 784.1 -9.410
1.000 783.0 -9.755
2.000 781.7 -9.341
3.000 780.7 -9.830
4.000 779.8 -9.434
5.000 778.6 -9.484
6.000 777.4 -9.461
7.000 776.2 -9.288
8.000 774.8 -9.541
9.000 773.9 -9.338
10.000 772.7 -9.469
11.000 771.6 -9.406
12.000 770.6 -9.302
13.000 769.4 -9.782
14.000 768.2 -9.414
15.000 767.0 -9.557
16.000 765.9 -9.522
17.000 764.8 -9.416
18.000 763.7 -9.772
19.000 762.6 -9.524
20.000 761.3 -9.566
21.000 760.0 -9.715
22.000 759.1 -9.382
23.000 757.9 -9.849
24.000 756.7 -9.468
25.000 755.8 -9.645
26.000 755.0 -9.757
27.000 753.6 -9.471
28.000 752.7 -9.695
29.000 751.7 -9.606
30.000 750.7 -9.872
31.000 749.6 -9.775
32.000 748.5 -9.769
33.000 747.1 -9.904
34.000 746.2 -9.775
35.000 745.1 -9.832
36.000 744.3 -10.08
37.000 743.1 -10.10
38.000 742.3 -10.35
39.000 741.4 -9.988
40.000 740.5 -10.25
41.000 739.4 -10.26
42.000 738.8 -10.20
43.000 738.0 -10.39
44.000 737.1 -10.29
45.000 736.1 -10.37
46.000 735.3 -10.45
47.000 734.3 -10.36
48.000 733.7 -10.56
49.000 733.0 -10.42
50.000 732.1 -10.49
51.000 731.2 -10.53
52.000 730.6 -10.45
53.000 730.0 -10.73
54.000 729.4 -10.56
55.000 728.6 -10.61
56.000 727.6 -10.83
57.000 726.9 -10.51
58.000 726.5 -10.61
59.000 725.7 -10.49
60.000 725.2 -10.57
61.000 724.6 -10.71
62.000 724.1 -10.50
63.000 723.3 -10.68
64.000 722.7 -10.59
65.000 722.3 -10.53
66.000 721.9 -10.68
67.000 721.4 -10.48
68.000 720.9 -10.72
69.000 720.6 -10.63
70.000 720.3 -10.61
71.000 719.9 -10.91
72.000 719.7 -10.84
73.000 719.3 -10.80
74.000 719.0 -10.56
75.000 718.6 -10.62
76.000 718.2 -10.81
77.000 718.1 -10.64
78.000 718.2 -10.95
79.000 717.9 -11.13
80.000 718.0 -11.18
81.000 717.7 -11.31
82.000 717.7 -11.03
83.000 717.7 -11.46
84.000 717.7 -11.07
85.000 717.7 -11.15
86.000 717.6 -11.23
87.000 717.6 -10.98
88.000 717.7 -11.48
89.000 717.7 -11.16
90.000 717.7 -11.25
91.000 717.8 -11.31
92.000 717.8 -10.90
93.000 717.9 -11.14
94.000 718.0 -10.92
95.000 718.2 -11.09
96.000 718.4 -11.22
97.000 718.4 -10.87
98.000 718.7 -11.06
99.000 719.0 -10.79
100.000 719.4 -10.75
101.000 719.7 -11.00
102.000 720.1 -10.83
103.000 720.4 -10.82
104.000 720.9 -10.57
105.000 721.4 -10.54
106.000 721.8 -10.70
107.000 722.3 -10.57
108.000 722.6 -10.79
109.000 723.3 -10.65
110.000 723.6 -10.50
111.000 724.4 -10.63
112.000 724.9 -10.48
113.000 725.6 -10.69
114.000 726.3 -10.50
115.000 726.8 -10.62
116.000 727.6 -10.72
117.000 728.7 -10.58
118.000 729.3 -10.63
119.000 730.1 -10.42
120.000 730.7 -10.47
121.000 731.6 -10.49
122.000 732.6 -10.29
123.000 733.6 -10.54
124.000 734.0 -10.40
125.000 735.0 -10.32
126.000 736.0 -10.46
127.000 736.8 -10.21
128.000 738.0 -10.33
129.000 739.0 -10.20
130.000 739.9 -10.18
131.000 741.0 -10.38
132.000 742.0 -9.923
133.000 742.9 -10.44
134.000 744.0 -10.23
135.000 745.1 -10.22
136.000 746.4 -10.39
137.000 747.4 -9.892
138.000 748.3 -9.925
139.000 749.7 -9.951
140.000 751.0 -9.977
141.000 752.2 -10.03
142.000 753.3 -9.832
143.000 754.7 -9.797
144.000 756.0 -9.428
145.000 757.2 -9.379
146.000 758.8 -9.908
147.000 759.9 -9.609
148.000 761.2 -9.644
149.000 762.6 -9.505
150.000 764.1 -9.543
151.000 765.5 -9.522
152.000 766.6 -9.415
153.000 768.4 -9.579
154.000 769.5 -9.292
155.000 771.0 -9.324
156.000 772.4 -9.516
157.000 773.8 -9.392
158.000 775.5 -9.529
159.000 776.9 -9.539
160.000 778.4 -9.332
161.000 779.8 -9.518
162.000 781.2 -9.168
163.000 783.0 -9.491
164.000 784.5 -9.388
165.000 785.9 -9.158
166.000 787.6 -9.341
167.000 789.3 -9.075
168.000 790.7 -9.220
169.000 792.5 -9.245
170.000 793.9 -9.094
171.000 795.6 -9.299
172.000 797.0 -9.171
173.000 798.6 -9.108
174.000 800.7 -9.056
175.000 802.3 -8.946
176.000 803.7 -9.216
177.000 805.4 -9.029
178.000 807.3 -9.040
179.000 809.1 -9.301
180.000 811.1 -9.404
181.000 812.2 -9.692
182.000 813.7 -8.942
183.000 816.0 -8.813
184.000 817.9 -8.634
185.000 819.5 -8.373
186.000 821.1 -8.637
187.000 822.8 -8.393
188.000 824.4 -8.578
189.000 826.3 -8.459
190.000 827.8 -8.254
191.000 829.6 -8.528
192.000 831.0 -8.421
193.000 832.8 -8.459
194.000 834.5 -8.219
195.000 836.0 -8.071
196.000 837.7 -8.116
197.000 839.7 -8.119
198.000 841.4 -8.283
199.000 842.8 -8.309
200.000 844.3 -8.068
201.000 846.1 -7.940
202.000 847.6 -7.764
203.000 849.2 -7.590
204.000 850.9 -7.596
205.000 852.5 -7.475
206.000 854.0 -7.470
207.000 855.5 -7.140
208.000 856.8 -7.620
209.000 858.9 -7.443
210.000 860.3 -7.259
211.000 861.5 -7.411
212.000 863.1 -7.109
213.000 864.6 -7.330
214.000 866.4 -7.340
215.000 867.7 -7.002
216.000 869.4 -7.225
217.000 870.8 -6.822
218.000 872.4 -6.784
219.000 873.7 -6.720
220.000 875.2 -6.701
221.000 876.7 -6.824
222.000 878.0 -6.821
223.000 879.6 -6.728
224.000 881.1 -6.617
225.000 882.4 -6.561
226.000 883.6 -6.742
227.000 885.1 -6.450
228.000 886.5 -6.627
229.000 887.8 -6.521
230.000 889.0 -6.605
231.000 890.4 -6.597
232.000 891.5 -6.461
233.000 892.9 -6.607
234.000 894.0 -6.495
235.000 895.3 -6.511
236.000 896.4 -6.648
237.000 897.7 -6.303
238.000 899.0 -6.441
239.000 900.0 -6.628
240.000 901.2 -6.445
241.000 902.3 -6.387
242.000 903.3 -6.391
243.000 904.4 -6.556
244.000 905.4 -6.596
245.000 906.4 -6.532
246.000 907.4 -6.539
247.000 908.4 -6.203
248.000 909.2 -6.449
249.000 910.2 -6.320
250.000 911.1 -6.232
251.000 912.2 -6.340
252.000 913.0 -5.881
253.000 913.9 -6.091
254.000 914.8 -6.378
255.000 915.7 -6.372
256.000 916.3 -6.436
257.000 917.1 -6.433
258.000 917.9 -6.386
259.000 918.5 -6.349
260.000 918.8 -6.378
261.000 919.9 -6.370
262.000 920.4 -6.294
263.000 921.0 -6.219
264.000 921.7 -6.263
265.000 922.6 -5.975
266.000 923.0 -6.421
267.000 923.4 -6.253
268.000 923.8 -6.330
269.000 924.3 -6.327
270.000 924.8 -6.318
271.000 925.3 -6.387
272.000 925.5 -6.283
273.000 925.8 -6.234
274.000 926.3 -6.349
275.000 926.6 -6.259
276.000 926.7 -6.307
277.000 927.2 -6.345
278.000 927.5 -6.359
279.000 927.4 -6.385
280.000 927.7 -6.164
281.000 928.1 -6.226
282.000 928.2 -6.246
283.000 928.2 -6.212
284.000 928.2 -6.335
285.000 928.2 -6.292
286.000 928.3 -6.296
287.000 928.3 -6.225
288.000 928.3 -6.175
289.000 928.3 -6.257
290.000 928.3 -6.160
291.000 928.2 -6.274
292.000 928.1 -6.214
293.000 928.1 -6.218
294.000 928.0 -6.268
295.000 927.8 -6.291
296.000 927.8 -6.361
297.000 927.5 -6.144
298.000 927.2 -6.265
299.000 926.7 -6.292
300.000 926.6 -6.120
301.000 926.2 -6.269
302.000 925.8 -6.200
303.000 925.6 -6.161
304.000 925.0 -6.292
305.000 924.5 -6.150
306.000 924.0 -6.309
307.000 923.6 -6.308
308.000 923.3 -6.321
309.000 922.7 -6.363
310.000 922.3 -6.261
311.000 921.6 -6.424
312.000 920.9 -6.261
313.000 920.3 -6.204
314.000 919.6 -6.297
315.000 919.0 -6.334
316.000 918.5 -6.547
317.000 917.7 -6.362
318.000 917.0 -6.296
319.000 916.2 -6.385
320.000 915.4 -6.367
321.000 914.4 -6.423
322.000 913.8 -6.319
323.000 913.2 -6.367
324.000 912.2 -6.362
325.000 911.2 -6.349
326.000 910.4 -6.762
327.000 909.4 -6.635
328.000 908.8 -6.383
329.000 907.8 -6.636
330.000 907.0 -6.514
331.000 905.9 -6.698
332.000 905.1 -6.542
333.000 904.2 -6.441
334.000 903.1 -6.554
335.000 902.0 -6.453
336.000 900.9 -6.580
337.000 899.9 -6.557
338.000 898.9 -6.557
339.000 897.7 -6.628
340.000 896.7 -6.640
341.000 895.4 -6.657
342.000 894.2 -6.656
343.000 893.0 -6.583
344.000 891.9 -6.657
345.000 890.5 -6.573
346.000 889.4 -6.647
347.000 888.0 -6.535
348.000 886.9 -6.598
349.000 885.5 -6.741
350.000 884.3 -6.640
351.000 882.9 -6.699
352.000 881.9 -6.693
353.000 880.4 -6.813
354.000 879.2 -6.907
355.000 877.8 -6.571
356.000 876.8 -6.833
357.000 875.3 -6.723
358.000 874.0 -6.611
359.000 872.6 -6.802
360.000 871.3 -6.704
361.000 869.9 -7.081
362.000 868.7 -7.017
363.000 867.3 -6.911
364.000 865.8 -7.330
365.000 864.4 -7.264
366.000 862.9 -7.436
367.000 861.5 -7.293
368.000 860.3 -7.318
369.000 858.8 -7.495
370.000 857.5 -7.319
371.000 855.9 -7.371
372.000 854.6 -7.516
373.000 853.3 -7.418
374.000 851.8 -7.811
375.000 850.7 -7.547
376.000 849.2 -7.617
377.000 847.7 -7.633
378.000 846.5 -7.706
379.000 844.9 -7.906
380.000 843.7 -7.635
381.000 842.3 -7.782
382.000 840.6 -7.822
383.000 839.4 -7.712
384.000 838.0 -7.928
385.000 836.5 -8.009
386.000 835.0 -8.329
387.000 833.7 -8.341
388.000 832.3 -8.272
389.000 830.8 -8.543
390.000 829.7 -8.331
391.000 828.1 -8.498
392.000 826.8 -8.428
393.000 825.6 -8.339
394.000 823.9 -8.549
395.000 822.5 -8.372
396.000 821.3 -8.519
397.000 820.0 -8.513
398.000 818.7 -8.504
399.000 817.4 -8.755
400.000 815.6 -8.749
401.000 814.0 -9.183
402.000 812.9 -9.295
403.000 811.8 -9.459
404.000 810.9 -9.410
405.000 809.2 -9.004
406.000 807.5 -9.064
407.000 805.8 -9.067
408.000 804.7 -9.127
409.000 803.4 -9.176
410.000 802.2 -9.086
411.000 800.9 -9.199
412.000 799.8 -9.072
413.000 798.4 -9.168
414.000 797.3 -9.370
415.000 796.3 -9.216
