 Masse A  
t x y 
0.000 1.075E3 -93.59
1.000 1.077E3 -93.59
2.000 1.078E3 -93.38
3.000 1.079E3 -93.73
4.000 1.081E3 -93.67
5.000 1.082E3 -93.37
6.000 1.083E3 -93.62
7.000 1.084E3 -93.29
8.000 1.086E3 -93.75
9.000 1.087E3 -93.68
10.000 1.088E3 -93.33
11.000 1.090E3 -93.53
12.000 1.091E3 -93.30
13.000 1.093E3 -93.45
14.000 1.095E3 -93.38
15.000 1.096E3 -93.17
16.000 1.097E3 -93.37
17.000 1.099E3 -93.24
18.000 1.100E3 -93.28
19.000 1.101E3 -93.21
20.000 1.103E3 -93.19
21.000 1.105E3 -93.38
22.000 1.106E3 -93.02
23.000 1.108E3 -92.80
24.000 1.109E3 -93.05
25.000 1.111E3 -92.92
26.000 1.113E3 -92.90
27.000 1.114E3 -92.59
28.000 1.116E3 -92.61
29.000 1.117E3 -92.73
30.000 1.119E3 -92.59
31.000 1.121E3 -92.85
32.000 1.123E3 -92.53
33.000 1.124E3 -92.49
34.000 1.126E3 -92.70
35.000 1.128E3 -92.20
36.000 1.130E3 -92.52
37.000 1.131E3 -92.37
38.000 1.133E3 -92.50
39.000 1.135E3 -92.46
40.000 1.137E3 -92.15
41.000 1.138E3 -92.63
42.000 1.140E3 -92.37
43.000 1.142E3 -92.78
44.000 1.144E3 -92.43
45.000 1.146E3 -91.86
46.000 1.148E3 -92.13
47.000 1.149E3 -92.18
48.000 1.151E3 -92.08
49.000 1.152E3 -91.62
50.000 1.154E3 -91.61
51.000 1.156E3 -91.96
52.000 1.158E3 -91.65
53.000 1.161E3 -91.40
54.000 1.162E3 -91.86
55.000 1.164E3 -91.62
56.000 1.166E3 -91.80
57.000 1.168E3 -91.35
58.000 1.170E3 -91.45
59.000 1.172E3 -91.62
60.000 1.173E3 -91.64
61.000 1.175E3 -91.42
62.000 1.177E3 -91.49
63.000 1.179E3 -91.47
64.000 1.181E3 -91.53
65.000 1.183E3 -91.40
66.000 1.185E3 -91.56
67.000 1.188E3 -91.16
68.000 1.190E3 -91.29
69.000 1.191E3 -91.40
70.000 1.193E3 -91.22
71.000 1.194E3 -91.53
72.000 1.197E3 -90.88
73.000 1.199E3 -90.60
74.000 1.202E3 -90.54
75.000 1.203E3 -90.58
76.000 1.205E3 -90.62
77.000 1.207E3 -90.61
78.000 1.209E3 -90.47
79.000 1.211E3 -90.24
80.000 1.213E3 -90.56
81.000 1.215E3 -90.43
82.000 1.217E3 -90.15
83.000 1.218E3 -90.40
84.000 1.220E3 -90.01
85.000 1.221E3 -89.86
86.000 1.224E3 -89.70
87.000 1.225E3 -89.56
88.000 1.227E3 -89.68
89.000 1.229E3 -89.72
90.000 1.231E3 -89.56
91.000 1.233E3 -89.57
92.000 1.234E3 -89.60
93.000 1.236E3 -89.41
94.000 1.238E3 -89.68
95.000 1.240E3 -89.30
96.000 1.241E3 -89.57
97.000 1.243E3 -89.19
98.000 1.245E3 -89.57
99.000 1.246E3 -89.37
100.000 1.248E3 -89.30
101.000 1.250E3 -89.21
102.000 1.251E3 -89.38
103.000 1.253E3 -89.34
104.000 1.255E3 -89.38
105.000 1.256E3 -89.30
106.000 1.258E3 -89.26
107.000 1.260E3 -89.24
108.000 1.261E3 -89.37
109.000 1.262E3 -89.41
110.000 1.264E3 -89.16
111.000 1.266E3 -89.18
112.000 1.267E3 -88.97
113.000 1.268E3 -88.93
114.000 1.270E3 -88.81
115.000 1.271E3 -88.69
116.000 1.273E3 -88.79
117.000 1.274E3 -88.63
118.000 1.276E3 -88.62
119.000 1.277E3 -88.84
120.000 1.279E3 -88.63
121.000 1.280E3 -88.73
122.000 1.281E3 -88.56
123.000 1.282E3 -88.62
124.000 1.283E3 -88.59
125.000 1.285E3 -88.43
126.000 1.286E3 -88.57
127.000 1.287E3 -88.17
128.000 1.288E3 -88.76
129.000 1.289E3 -88.66
130.000 1.291E3 -88.29
131.000 1.292E3 -88.49
132.000 1.293E3 -88.50
133.000 1.294E3 -88.61
134.000 1.295E3 -88.69
135.000 1.296E3 -88.64
136.000 1.297E3 -88.75
137.000 1.298E3 -88.32
138.000 1.299E3 -88.56
139.000 1.300E3 -88.56
140.000 1.301E3 -88.39
141.000 1.302E3 -88.46
142.000 1.303E3 -88.25
143.000 1.304E3 -88.46
144.000 1.305E3 -88.34
145.000 1.305E3 -88.39
146.000 1.306E3 -88.38
147.000 1.307E3 -88.11
148.000 1.308E3 -88.20
149.000 1.308E3 -88.28
150.000 1.309E3 -88.13
151.000 1.309E3 -88.44
152.000 1.310E3 -88.33
153.000 1.311E3 -88.33
154.000 1.312E3 -88.20
155.000 1.312E3 -88.08
156.000 1.313E3 -87.96
157.000 1.313E3 -87.80
158.000 1.314E3 -87.62
159.000 1.314E3 -87.90
160.000 1.315E3 -87.82
161.000 1.315E3 -88.08
162.000 1.315E3 -87.84
163.000 1.315E3 -87.97
164.000 1.316E3 -87.83
165.000 1.316E3 -87.83
166.000 1.316E3 -87.94
167.000 1.316E3 -87.96
168.000 1.317E3 -88.01
169.000 1.317E3 -88.03
170.000 1.317E3 -88.02
171.000 1.317E3 -87.96
172.000 1.317E3 -87.81
173.000 1.317E3 -87.91
174.000 1.317E3 -87.84
175.000 1.318E3 -87.72
176.000 1.318E3 -87.84
177.000 1.318E3 -87.70
178.000 1.318E3 -87.90
179.000 1.318E3 -87.85
180.000 1.317E3 -87.83
181.000 1.317E3 -88.02
182.000 1.317E3 -87.85
183.000 1.317E3 -87.84
184.000 1.317E3 -88.01
185.000 1.317E3 -87.78
186.000 1.317E3 -88.24
187.000 1.317E3 -88.13
188.000 1.316E3 -88.38
189.000 1.316E3 -88.34
190.000 1.316E3 -88.17
191.000 1.315E3 -88.63
192.000 1.315E3 -87.99
193.000 1.314E3 -87.87
194.000 1.314E3 -87.79
195.000 1.314E3 -87.72
196.000 1.313E3 -88.10
197.000 1.313E3 -87.96
198.000 1.312E3 -87.95
199.000 1.312E3 -87.89
200.000 1.311E3 -87.80
201.000 1.310E3 -88.20
202.000 1.310E3 -88.05
203.000 1.309E3 -88.16
204.000 1.309E3 -88.20
205.000 1.308E3 -88.21
206.000 1.307E3 -88.52
207.000 1.306E3 -88.54
208.000 1.305E3 -88.54
209.000 1.305E3 -88.39
210.000 1.304E3 -88.39
211.000 1.304E3 -88.44
212.000 1.303E3 -87.92
213.000 1.302E3 -88.16
214.000 1.301E3 -88.27
215.000 1.300E3 -88.22
216.000 1.299E3 -88.72
217.000 1.298E3 -88.36
218.000 1.297E3 -88.61
219.000 1.296E3 -88.64
220.000 1.296E3 -88.43
221.000 1.295E3 -88.60
222.000 1.294E3 -88.23
223.000 1.292E3 -88.71
224.000 1.291E3 -88.75
225.000 1.290E3 -88.55
226.000 1.289E3 -88.72
227.000 1.288E3 -88.51
228.000 1.287E3 -88.51
229.000 1.286E3 -88.60
230.000 1.285E3 -88.38
231.000 1.284E3 -88.86
232.000 1.283E3 -88.46
233.000 1.282E3 -88.63
234.000 1.281E3 -88.73
235.000 1.279E3 -88.63
236.000 1.278E3 -89.04
237.000 1.277E3 -88.77
238.000 1.276E3 -88.77
239.000 1.274E3 -88.71
240.000 1.273E3 -88.59
241.000 1.272E3 -88.83
242.000 1.271E3 -88.68
243.000 1.269E3 -88.78
244.000 1.268E3 -88.83
245.000 1.267E3 -88.67
246.000 1.266E3 -88.82
247.000 1.265E3 -88.63
248.000 1.263E3 -89.04
249.000 1.262E3 -88.93
250.000 1.261E3 -88.86
251.000 1.259E3 -89.16
252.000 1.258E3 -89.12
253.000 1.257E3 -89.27
254.000 1.256E3 -89.39
255.000 1.254E3 -89.27
256.000 1.253E3 -89.44
257.000 1.252E3 -89.24
258.000 1.250E3 -89.43
259.000 1.249E3 -89.51
260.000 1.248E3 -89.16
261.000 1.247E3 -89.61
262.000 1.245E3 -89.27
263.000 1.244E3 -89.51
264.000 1.242E3 -89.59
265.000 1.241E3 -89.39
266.000 1.240E3 -89.60
267.000 1.238E3 -89.64
268.000 1.237E3 -89.63
269.000 1.236E3 -89.51
270.000 1.234E3 -89.58
271.000 1.233E3 -89.63
272.000 1.231E3 -89.77
273.000 1.230E3 -89.62
274.000 1.229E3 -89.51
275.000 1.228E3 -89.40
276.000 1.226E3 -89.69
277.000 1.225E3 -89.69
278.000 1.224E3 -89.56
279.000 1.222E3 -89.79
280.000 1.221E3 -89.94
281.000 1.220E3 -90.16
282.000 1.219E3 -90.20
283.000 1.217E3 -90.35
284.000 1.216E3 -90.49
285.000 1.215E3 -90.09
