 Masse A  
t x y 
0.000 -9.959 71.37
1.000 -9.512 71.35
2.000 -9.374 71.46
3.000 -8.957 71.54
4.000 -8.435 71.49
5.000 -7.947 71.44
6.000 -7.652 71.36
7.000 -7.311 71.31
8.000 -7.042 71.55
9.000 -6.678 71.64
10.000 -6.193 71.59
11.000 -5.759 71.53
12.000 -5.513 71.49
13.000 -5.417 71.55
14.000 -4.663 71.49
15.000 -4.380 71.43
16.000 -3.958 71.49
17.000 -3.731 71.62
18.000 -3.508 71.60
19.000 -3.278 71.56
20.000 -2.843 71.55
21.000 -2.360 71.56
22.000 -1.854 71.61
23.000 -1.385 71.35
24.000 -1.113 71.44
25.000 -1.086 71.67
26.000 -0.636 71.54
27.000 -0.337 71.54
28.000 0.124 71.58
29.000 0.383 71.61
30.000 0.446 71.53
31.000 0.646 71.32
32.000 1.167 71.53
33.000 1.578 71.50
34.000 1.925 71.58
35.000 2.155 71.65
36.000 2.388 71.65
37.000 2.400 71.68
38.000 2.793 71.67
39.000 3.120 71.60
40.000 3.288 71.60
41.000 3.660 71.50
42.000 4.196 71.52
43.000 4.253 71.51
44.000 4.337 71.52
45.000 4.390 71.56
46.000 4.769 71.52
47.000 5.292 71.55
48.000 5.307 71.56
49.000 5.333 71.48
50.000 5.575 71.54
51.000 6.067 71.54
52.000 6.147 71.61
53.000 6.262 71.60
54.000 6.286 71.49
55.000 6.385 71.55
56.000 6.749 71.53
57.000 7.041 71.63
58.000 7.448 71.61
59.000 7.477 71.56
60.000 7.574 71.58
61.000 7.885 71.55
62.000 7.902 71.61
63.000 7.973 71.70
64.000 8.120 71.61
65.000 8.159 71.72
66.000 8.231 71.64
67.000 8.383 71.65
68.000 8.460 71.68
69.000 8.573 71.54
70.000 8.875 71.59
71.000 8.995 71.55
72.000 9.142 71.57
73.000 9.089 71.62
74.000 9.150 71.56
75.000 9.135 71.58
76.000 9.189 71.58
77.000 9.233 71.58
78.000 9.260 71.67
79.000 9.262 71.59
80.000 9.349 71.65
81.000 9.365 71.64
82.000 9.377 71.65
83.000 9.378 71.67
84.000 9.489 71.68
85.000 9.459 71.69
86.000 9.469 71.68
87.000 9.442 71.62
88.000 9.482 71.70
89.000 9.416 71.65
90.000 9.408 71.67
91.000 9.383 71.67
92.000 9.363 71.64
93.000 9.360 71.66
94.000 9.414 71.57
95.000 9.351 71.61
96.000 9.285 71.65
97.000 9.285 71.56
98.000 9.292 71.59
99.000 9.217 71.57
100.000 9.179 71.59
101.000 9.152 71.60
102.000 9.128 71.55
103.000 9.101 71.63
104.000 9.048 71.57
105.000 9.008 71.63
106.000 8.942 71.62
107.000 8.892 71.57
108.000 8.539 71.75
109.000 8.235 71.73
110.000 8.156 71.61
111.000 8.046 71.78
112.000 7.967 71.56
113.000 7.889 71.65
114.000 7.825 71.60
115.000 7.770 71.60
116.000 7.647 71.65
117.000 7.606 71.58
118.000 7.482 71.61
119.000 6.781 71.59
120.000 6.633 71.47
121.000 6.576 71.71
122.000 6.541 71.51
123.000 6.173 71.58
124.000 5.859 71.67
125.000 5.871 71.57
126.000 5.801 71.59
127.000 5.528 71.54
128.000 5.287 71.59
129.000 5.203 71.64
