 Masse A  
t x y 
0.000 -46.55 72.24
1.000 -46.47 72.47
2.000 -46.61 72.29
3.000 -46.63 72.38
4.000 -46.63 72.42
5.000 -46.75 72.17
6.000 -46.68 72.40
7.000 -46.74 72.22
8.000 -46.79 72.25
9.000 -46.77 72.29
10.000 -46.81 72.17
11.000 -46.75 72.38
12.000 -46.89 72.24
13.000 -46.85 72.23
14.000 -46.78 72.34
15.000 -46.87 72.12
16.000 -46.82 72.33
17.000 -46.86 72.17
18.000 -46.88 72.20
19.000 -46.86 72.27
20.000 -46.83 72.19
21.000 -46.78 72.33
22.000 -46.78 72.24
23.000 -46.75 72.25
24.000 -46.67 72.46
25.000 -46.71 72.04
26.000 -46.64 72.33
27.000 -46.71 72.24
28.000 -46.66 72.24
29.000 -46.59 72.35
30.000 -46.67 72.09
31.000 -46.50 72.46
32.000 -46.52 72.33
33.000 -46.53 72.22
34.000 -46.39 72.42
35.000 -46.43 72.10
36.000 -46.35 72.27
37.000 -46.29 72.35
38.000 -46.37 72.26
39.000 -46.26 72.55
40.000 -46.29 72.13
41.000 -46.19 72.52
42.000 -46.11 72.43
43.000 -46.10 72.31
44.000 -45.98 72.33
45.000 -45.60 72.09
46.000 -45.35 72.40
47.000 -45.35 72.39
48.000 -45.09 72.22
49.000 -45.06 72.59
50.000 -44.92 72.30
51.000 -44.48 72.34
52.000 -44.17 72.43
53.000 -44.16 72.26
54.000 -44.08 72.47
55.000 -44.07 72.32
56.000 -44.06 72.31
57.000 -43.98 72.31
58.000 -43.65 72.08
59.000 -43.46 72.47
60.000 -43.36 72.30
61.000 -43.20 72.25
62.000 -42.82 72.36
63.000 -42.58 72.03
64.000 -42.18 72.37
65.000 -42.26 72.18
66.000 -42.18 72.21
67.000 -42.05 72.33
68.000 -42.00 72.08
69.000 -41.65 72.21
70.000 -41.54 72.17
71.000 -41.19 72.24
72.000 -41.02 72.25
73.000 -40.71 72.13
74.000 -40.53 72.27
75.000 -40.45 72.21
76.000 -40.33 72.25
77.000 -40.07 72.39
78.000 -40.12 72.13
79.000 -39.84 72.20
80.000 -39.57 72.26
81.000 -39.34 72.18
82.000 -38.85 72.29
83.000 -38.62 72.18
84.000 -38.40 72.26
85.000 -38.14 72.38
86.000 -38.20 72.27
87.000 -37.87 72.28
88.000 -37.63 72.21
89.000 -37.47 72.27
90.000 -37.25 72.36
91.000 -37.17 72.34
92.000 -37.00 72.43
93.000 -36.59 72.11
94.000 -36.28 72.24
95.000 -36.20 72.35
96.000 -36.04 72.07
97.000 -35.57 72.34
98.000 -35.51 72.25
99.000 -35.20 72.37
100.000 -34.97 72.28
101.000 -34.72 72.18
102.000 -34.43 72.35
103.000 -34.38 72.20
104.000 -33.99 72.27
105.000 -33.55 72.30
106.000 -33.50 72.16
107.000 -33.26 72.35
108.000 -33.07 72.28
109.000 -33.03 72.10
110.000 -32.60 72.42
111.000 -32.37 72.11
112.000 -32.06 72.44
113.000 -31.91 72.20
114.000 -31.55 72.29
115.000 -31.27 72.38
116.000 -31.15 72.36
117.000 -30.96 72.33
118.000 -30.70 72.27
119.000 -30.57 72.26
120.000 -30.19 72.57
121.000 -30.18 72.29
122.000 -29.80 72.39
123.000 -29.58 72.39
124.000 -29.42 72.31
125.000 -29.29 72.41
126.000 -29.20 72.29
127.000 -28.96 72.25
128.000 -28.63 72.19
129.000 -28.53 72.17
130.000 -28.17 72.31
