 Masse A  
t x y 
256.000 -40.80 57.37
257.000 -40.98 57.44
258.000 -41.34 57.36
259.000 -41.79 57.31
260.000 -41.99 57.31
261.000 -42.09 57.38
262.000 -42.44 57.33
263.000 -42.80 57.29
264.000 -43.08 57.29
265.000 -43.64 57.34
266.000 -43.89 57.29
267.000 -44.07 57.31
268.000 -44.13 57.27
269.000 -44.53 57.30
270.000 -44.84 57.35
271.000 -45.11 57.36
272.000 -45.57 57.30
273.000 -45.69 57.31
274.000 -45.69 57.35
275.000 -45.79 57.39
276.000 -46.03 57.40
277.000 -46.17 57.50
278.000 -46.49 57.38
279.000 -46.60 57.39
280.000 -46.80 57.41
281.000 -46.83 57.35
282.000 -46.88 57.34
283.000 -46.91 57.28
284.000 -46.99 57.30
285.000 -47.06 57.26
286.000 -47.18 57.40
287.000 -47.45 57.33
288.000 -47.67 57.34
289.000 -47.63 57.32
290.000 -47.65 57.33
291.000 -47.65 57.33
292.000 -47.67 57.37
293.000 -47.73 57.35
294.000 -47.71 57.34
295.000 -47.70 57.32
296.000 -47.70 57.32
297.000 -47.70 57.34
298.000 -47.69 57.33
299.000 -47.68 57.30
300.000 -47.58 57.35
301.000 -47.59 57.31
302.000 -47.58 57.33
303.000 -47.55 57.35
304.000 -47.36 57.37
305.000 -47.37 57.36
306.000 -47.30 57.43
307.000 -47.23 57.43
308.000 -47.18 57.45
309.000 -47.12 57.43
310.000 -47.02 57.39
311.000 -46.54 57.39
312.000 -46.27 57.43
313.000 -46.25 57.42
314.000 -46.08 57.33
315.000 -45.91 57.35
316.000 -45.63 57.29
317.000 -45.58 57.35
318.000 -45.38 57.38
319.000 -44.96 57.40
320.000 -44.52 57.35
321.000 -44.44 57.21
322.000 -44.26 57.33
323.000 -43.92 57.37
324.000 -43.49 57.29
325.000 -43.29 57.31
326.000 -42.87 57.28
327.000 -42.58 57.28
328.000 -42.22 57.44
329.000 -42.13 57.42
330.000 -41.88 57.34
331.000 -41.47 57.33
332.000 -41.20 57.37
333.000 -40.83 57.38
334.000 -40.52 57.38
335.000 -40.16 57.37
336.000 -39.96 57.32
337.000 -39.41 57.34
338.000 -39.05 57.41
339.000 -38.39 57.37
340.000 -38.03 57.38
341.000 -37.55 57.44
342.000 -37.10 57.41
343.000 -36.72 57.40
344.000 -36.26 57.34
345.000 -36.15 57.35
346.000 -35.80 57.36
347.000 -35.16 57.43
348.000 -34.65 57.38
349.000 -34.07 57.28
350.000 -33.50 57.39
351.000 -33.16 57.45
352.000 -32.79 57.32
353.000 -32.15 57.40
354.000 -31.85 57.25
355.000 -31.30 57.33
356.000 -31.08 57.30
357.000 -30.55 57.16
358.000 -29.99 57.24
359.000 -29.31 57.37
360.000 -28.83 57.42
361.000 -28.18 57.49
362.000 -27.78 57.38
363.000 -27.24 57.43
364.000 -26.83 57.26
365.000 -26.17 57.31
366.000 -25.84 57.62
367.000 -25.19 57.31
368.000 -24.76 57.33
369.000 -24.10 57.41
370.000 -23.62 57.38
371.000 -23.00 57.43
372.000 -22.17 57.42
373.000 -21.83 57.33
374.000 -21.27 57.41
375.000 -20.75 57.38
376.000 -20.08 57.42
377.000 -19.58 57.28
378.000 -19.13 57.43
379.000 -18.62 57.34
380.000 -17.75 57.36
381.000 -17.20 57.44
382.000 -16.68 57.18
383.000 -15.98 57.37
384.000 -15.27 57.36
385.000 -14.86 57.43
386.000 -14.15 57.55
387.000 -13.87 57.23
388.000 -13.22 57.52
389.000 -12.61 57.28
390.000 -12.08 57.32
391.000 -11.66 57.31
392.000 -10.70 57.37
393.000 -10.17 57.46
394.000 -9.860 57.41
395.000 -9.081 57.41
